Sucursal  : 0010 BODEGA CENTRAL 00000001 dias compras : 1

Codigo,Cod.Proveedor,Descripcion Producto,familia,linea,Inventario,Rotacion,Dia ventas,Ventas,Stock Actual,stock Minimo,Stock Seguridad,Stock Maximo,Ventas Proyectadas,Pendientes en O/C.,Sugerida a Comprar,Precio Lista Proveedor,Total Compra,Proveedor,Proveedor Ultima compra,Fecha Ultima compra,Valor ultima compra,Fecha Ulima Venta,Valor ult.Venta
00000001,,AMP 24V  FUSIBLE 4 LED 10X31 CRISTAL SV8.5 5218   ,AMPOLLETA,AMPOLLETA LED,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,,20160820,696,20210326,1114
00000002,,PLANA ALBA IL STAND 190X90MM BELLOTA 1651299      ,HERR.OTRAS MARCAS,PLANAS,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,,20210514,11889,20210609,17841
00000003,,PERNO HEX ZINCADO 5/8 X 1 11 H                    ,PERNO,HEX ZINC PULG,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,,,161,,
00000004,,PERNO HEX GALVANIZADO 5/8 X 1 11H                 ,PERNO,GALVANIZADO,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,COMERC. PROVEPER LTDA.,20210430,161,20220514,269
00000005,,AMPOLLETA GLOBO CH 24V 5W TW                      ,AMPOLLETA,24 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,COM.HU Y TSAI LTDA.,20130905,47,20201116,96
00000006,,AMPOLLETA GLOBO CH 24V 10W TW                     ,AMPOLLETA,24 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,EDUARDO CRISTHIAN FERRI MASCIO,20130504,107,20230120,196
00000007,,CAPOT DAHIATSU TERIOS.                            ,ROTACION ,MINIMA,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,COM.HU Y TSAI LTDA.,20140331,58,20200515,1
00000009,,AMPOLLETA GLOBO GR 12V 21W 1CONT 93 TW            ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,COM.HU Y TSAI LTDA.,20201109,77,20230106,160
00000010,,AMPOLLETA GLOBO GR 24V 15W 1CONT TW               ,AMPOLLETA,24 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,COM.HU Y TSAI LTDA.,20130710,63,20221228,105
00000011,,AMPOLLETA GLOBO GR 24V 20W 1CONT TW               ,AMPOLLETA,24 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,COM.HU Y TSAI LTDA.,20130404,63,20221029,580
00000012,,AMPOLLETA GLOBO GR 12V 20/5W 2CONT C/P TW         ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,COM.HU Y TSAI LTDA.,20130710,67,20211026,81
00000013,,AMPOLLETA GLOBO GR 12V 21/5W 2C C/DISP TW 1034    ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,SERVICIO LUCAS BLANDFORD S.A.,20160511,129,20221223,185
00000014,,FUSIBLE MUE                                       ,ROTACION ,MINIMA,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,IMPORTADORA ALSACIA SPA,20121023,61,20201126,1
00000015,,AMPOLLETA GLOBO GR 24V 20/5W 2CONT C/P TW 1034    ,AMPOLLETA,24 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,IMPORTADORA ALSACIA SPA,20180313,230,20221015,304
00000016,,AMPOLLETA GLOBO GR 24V 20/5W 2CONT C/D TW         ,AMPOLLETA,24 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,GUSTAVO M.ROJAS ARAYA Y CIA LTDA,20170630,1,20220119,185
00000017,,AMPOLLETA GLOBO GR 12V 34/4CP FLOSS 5230          ,IMPORTACION,FLOSSER,S,SIN ROTACION,0,0,2176,0,0,0,0,2000,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,,20220708,350,20230123,588
00000018,,AMPOLLETA SOFITO T10 12V 5W COLA PEZ              ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,2000,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,,20210315,89,20230118,107
00000019,,AMPOLLETA SOFITO T15 12V 10W FRENO TW             ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,1000,0,130,0,EDUARDO CRISTHIAN FERRI MASCIO,EDUARDO CRISTHIAN FERRI MASCIO,20230127,130,20220425,134
00000020,,AMPOLLETA SOFITO T5 24V 2W CHICA TW               ,AMPOLLETA,24 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,GUSTAVO M.ROJAS ARAYA Y CIA LTDA,20170630,1,20221116,330
00000021,,AMPOLLETA SOFITO T10 24V 3W MED TW                ,AMPOLLETA,24 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,COM.HU Y TSAI LTDA.,20140827,42,20230103,89
00000022,,AMPOLLETA FUSIBLE 12V 8x31 5W TW                  ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,,20220910,100,20230121,252
00000023,,AMPOLLETA FUSIBLE 12V 10x31 10W TW                ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,IMPORTADORA MOTORIX -CHILE S.A.,20221117,89,20230131,235
00000024,,AMPOLLETA FUSIBLE 12V 10x36 10W TW                ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,IMPORTADORA MOTORIX -CHILE S.A.,20210315,78,20220914,159
00000025,,AMPOLLETA FUSIBLE 12V 11x39 10W TW                ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,20,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,,20201127,59,20230131,160
00000026,,AMPOLLETA FUSIBLE 12V 11x44 5W TW                 ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,,20210408,4522,20210319,116
00000027,,AMPOLLETA FUSIBLE 12V 11x44 10W TW                ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,IMPORTADORA MOTORIX -CHILE S.A.,20190722,78,20220412,143
00000028,,AMPOLLETA FUSIBLE 12V 11x44 15W TW                ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,COM.HU Y TSAI LTDA.,20140331,40,20220905,294
00000030,,AMPOLLETA FUSIBLE 24V 11x44 10W TW                ,AMPOLLETA,24 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,,20210211,75,20220422,160
00000032,,AMPOLLETA H3 12V 55W TW                           ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,LAFAYETTE,20120613,252,20210715,445
00000036,,AMPOLLETA H4 P43 12V 60/55W TW                    ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,IMPORTADORA ALSACIA SPA,20170516,979,20221024,2139
00000038,,AMPOLLETA H4 P43 24V 75/70W TW                    ,AMPOLLETA,24 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,,20091015,352,20210107,623
00000039,,AMPOLLETA H4 P43 24V 100/90W TW                   ,AMPOLLETA,24 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,,20110705,352,20230104,561
00000040,,AMPOLLETA H4 P45 12V 60/55W TW                    ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,IMPORTADORA ALSACIA SPA,20150817,503,20221118,890
00000041,,FAROL TRASERO 16 LED BI-VOL (RINDER 591) ROJO     ,FAROLES,TRASERO LED,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,IMP.DE REPUESTOS BRASIL LTDA.,20200929,3400,20220924,5105
00000043,,AMPOLLETA H7 12V 55W TW                           ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,REFAX CHILE SOC.ANONIMA,20210503,785,20221229,1416
00000044,,AMPOLLETA H7 12V 100W TW                          ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,LAFAYETTE,20120613,540,20230126,1167
00000045,,AMPOLLETA H7 24V 70W TW                           ,AMPOLLETA,24 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,IMPORTADORA AUTOTRUCK CENTER S.P.A,20220827,990,20230106,1188
00000046,,AMPOLLETA 9004 12V 65/45W TW                      ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,,20090422,952,20200831,1826
00000047,,AMPOLLETA 9004 12V 100/80W TW                     ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,COM.HU Y TSAI LTDA.,20120125,713,20190528,1764
00000048,,AMPOLLETA 9007 12V 65/55W TW                      ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,GUSTAVO M.ROJAS ARAYA Y CIA LTDA,20170630,1,20230106,2491
00000050,,AMPOLLETA FOCO MAYOR 12V 75/75W TW                ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,,20110705,232,20190423,1337
00000053,,SILVIN H6054 HALOGENO 12V 75/75W                  ,FAROLES,SILVIN,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,IMP.DE REPUESTOS BRASIL LTDA.,20170320,2822,20221126,5355
00000054,,BOTON PARADA DE EMERGENCIA C/ CAJA                ,ACCESORIOS,BOTONES - INTERRUPTORES,S,SIN ROTACION,670,0,0,0,0,0,0,0,0,0,0,EDUARDO CRISTHIAN FERRI MASCIO,IMPORTADORA AUTOTRUCK CENTER S.P.A,20230130,2890,20230127,12134
