Sucursal  : 0005 BARRIO INDUSTRIAL 00000001 dias compras : 10

Codigo,Cod.Proveedor,Descripcion Producto,familia,linea,Inventario,Rotacion,Dia ventas,Ventas,Stock Actual,stock Minimo,Stock Seguridad,Stock Maximo,Ventas Proyectadas,Pendientes en O/C.,Sugerida a Comprar,Precio Lista Proveedor,Total Compra,Proveedor,Proveedor Ultima compra,Fecha Ultima compra,Valor ultima compra,Fecha Ulima Venta,Valor ult.Venta
00000001,,AMP 24V  FUSIBLE 4 LED 10X31 CRISTAL SV8.5 5218   ,AMPOLLETA,AMPOLLETA LED,N,SIN ROTACION,180,0,6,0,0,0,0,1,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,,20160820,696,20210326,1114
00000004,,PERNO HEX GALVANIZADO 5/8 X 1 11H                 ,PERNO,GALVANIZADO,S,SIN ROTACION,180,0,100,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,COMERC. PROVEPER LTDA.,20210430,161,20220514,269
00000008,,AMPOLLETA GLOBO GR 12V 18W 1CONT TW               ,AMPOLLETA,12 VOL TW,N,SIN ROTACION,180,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,COM.HU Y TSAI LTDA.,20170417,58,20230123,134
00000009,,AMPOLLETA GLOBO GR 12V 21W 1CONT 93 TW            ,AMPOLLETA,12 VOL TW,S,SIN ROTACION,180,0,17,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,COM.HU Y TSAI LTDA.,20201109,77,20230106,160
00000010,,AMPOLLETA GLOBO GR 24V 15W 1CONT TW               ,AMPOLLETA,24 VOL TW,N,SIN ROTACION,180,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,COM.HU Y TSAI LTDA.,20130710,63,20221228,105
00000012,,AMPOLLETA GLOBO GR 12V 20/5W 2CONT C/P TW         ,AMPOLLETA,12 VOL TW,N,SIN ROTACION,180,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,COM.HU Y TSAI LTDA.,20130710,67,20211026,81
00000014,,FUSIBLE MUE                                       ,ROTACION ,MINIMA,N,SIN ROTACION,180,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,IMPORTADORA ALSACIA SPA,20121023,61,20201126,1
00000015,,AMPOLLETA GLOBO GR 24V 20/5W 2CONT C/P TW 1034    ,AMPOLLETA,24 VOL TW,S,SIN ROTACION,180,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,IMPORTADORA ALSACIA SPA,20180313,230,20221015,304
00000017,,AMPOLLETA GLOBO GR 12V 34/4CP FLOSS 5230          ,IMPORTACION,FLOSSER,N,SIN ROTACION,0,0,175,7,1.75,8.75,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,,20220708,350,20230123,588
00000018,,AMPOLLETA SOFITO T10 12V 5W COLA PEZ              ,AMPOLLETA,12 VOL TW,N,SIN ROTACION,180,0,0,0,0,0,0,0,0,0,0,IMP.DE REPUESTOS BRASIL LTDA.,,20210315,89,20230118,107
