Codigo,Tipo error,Descripcion,I.Industrial,Ult. compra Industrial,Ult. venta Industrial,I.La Serena,Ult. compra La Serena,Ult. venta La Serena,I.Matriz,Ult. compra Matriz,Ult. venta Matriz,I.Bodega,Ult. compra Bodega,Ult. venta Bodega
00003465,Empieza con letra,C 31,,,,,,,,,,,,
00003466,Empieza con letra,C 31/1,,,,,,,,,,,,
00003467,Empieza con letra,C 32,,,,,,,,,,,,
00003468,Empieza con letra,C 33,,,,,,,,,,,,
00003469,Empieza con letra,C 34,,,,,,,,,,,,
00003470,Empieza con letra,C 35,,,,,,,,,,,,
00003471,Empieza con letra,C 37,,,,,,,,,,,,
00003472,Empieza con letra,C 41,,,,,,,,,,,,
00003473,Empieza con letra,C 41/3,,,,,,,,,,,,
00003474,Empieza con letra,C 42/1,,,,,,,,,,,,
00003475,Empieza con letra,C 42/2,,,,,,,,,,,,
00003476,Empieza con letra,C 43,,,,,,,,,,,,
00003477,Empieza con letra,C 44/2,,,15/72/24,,,15/72/24,N,,15/72/24,,,15/72/24
00003478,Empieza con letra,C 46,,,,,,,,,,,,
00003479,Empieza con letra,C 48,,,,,,,,,,,,
00003480,Empieza con letra,C 52,,,,,,,,,,,,
00003481,Empieza con letra,C 52/1,,,,,,,N,,,,,
00003482,Empieza con letra,C 53,,,,,,,,,,,,
00003483,Empieza con letra,C 54,,,,,,,,,,,,
00003484,Empieza con letra,C 55,,,,,,,,,,,,
00003485,Empieza con letra,C 63,,,,,,,,,,,,
00003486,Empieza con letra,C 64/1,,,,,,,,,,,,
00003487,Empieza con letra,C 65/10,,,16/32/22,,,16/32/22,N,,16/32/22,,,16/32/22
00003488,Empieza con letra,C 66,,,,,,,,,,,,
00003489,Empieza con letra,C 66/1,,,,,,,,,,,,
00003490,Empieza con letra,C 69/1,,,14/12/27,,,14/12/27,N,,14/12/27,,,14/12/27
00003491,Empieza con letra,C 72,,,,,,,,,,,,
00003492,Empieza con letra,C 72/1,,,,,,,,,,,,
00003493,Empieza con letra,C 73,,,,,,,,,,,,
00003494,Empieza con letra,C 74,,,,,,,,,,,,
00003495,Empieza con letra,C 75,,,,,,,,,,,,
00003497,Empieza con letra,C 75/3,,,,,,,,,,,,
00003498,Empieza con letra,C 76/1,,,,,,,,,,,,
00003499,Empieza con letra,C 76/10,,,,,,,,,,,,
00003500,Empieza con letra,C 76/15,,,12/32/29,,,12/32/29,N,,12/32/29,,,12/32/29
00003501,Empieza con letra,C 76/20,,,,,,,,,,,,
00003502,Empieza con letra,C 76/30,,,,,,,,,,,,
00003503,Empieza con letra,C 77,,,,,,,,,,,,
00003504,Empieza con letra,C 77/2,,,,,,,,,,,,
00003505,Empieza con letra,C 78,,,,,,,,,,,,
00003506,Empieza con letra,C 78/10,,,,,,,,,,,,
00003507,Empieza con letra,C 79/1,,,,,,,,,,,,
00003508,Empieza con letra,C 87,,,,,,,,,,,,
00003509,Empieza con letra,C 93,,,,,,,,,,,,
00003510,Empieza con letra,C 96,,,,,,,,,,,,
00003511,Empieza con letra,C 97,,,,,,,,,,,,
00003512,Empieza con letra,C 114,,,,,,,,,,,,
00003513,Empieza con letra,C 116,,,,,,,,,,,,
00003514,Empieza con letra,C 117,,,,,,,,,,,,
00003515,Empieza con letra,C 119,,,22/22/24,,,22/22/24,N,,22/22/24,,,22/22/24
00003516,Empieza con letra,C 124,,,,,,,,,,,,
00003517,Empieza con letra,C 131,,,,,,,,,,,,
00003518,Empieza con letra,C 149,,,,,,,,,,,,
00003519,Empieza con letra,C 402,,,,,,,,,,,,
00003520,Empieza con letra,C 408,,,,,,,,,,,,
00003521,Empieza con letra,C 411,,,,,,,,,,,,
00003522,Empieza con letra,C 502,,,,,,,,,,,,
00003523,Empieza con letra,C 503,,,,,,,,,,,,
00003524,Empieza con letra,C 505,,,,,,,,,,,,
00003525,Empieza con letra,C 602,,,,,,,,,,,,
00003526,Empieza con letra,C 603,,,,,,,,,,,,
00003527,Empieza con letra,C 609,,,,,,,,,,,,
00003528,Empieza con letra,C 610/2,,,,,,,,,,,,
00003529,Empieza con letra,C 642,,,,,,,,,,,,
00003530,Empieza con letra,C 704,,,,,,,,,,,,
00003532,Empieza con letra,C 711,,,,,,,,,,,,
00003533,Empieza con letra,C 711/1,,,,,,,,,,,,
00003534,Empieza con letra,C 712/10,,,,,,,,,,,,
00003535,Empieza con letra,C 713,,,,,,,,,,,,
00003536,Empieza con letra,C 713/10,,,,,,,,,,,,
00003537,Empieza con letra,C 718,,,17/82/31,,,17/82/31,N,,17/82/31,,,17/82/31
00003538,Empieza con letra,C 722,,,,,,,,,,,,
00003540,Empieza con letra,C 737,,,,,,,,,,,,
00003541,Empieza con letra,C 744,,,,,,,,,,,,
00003543,Empieza con letra,C 803,,,,,,,,,,,,
00003544,Empieza con letra,C 805,,,,,,,,,,,,
00003545,Empieza con letra,C 808,,,,,,,,,,,,
