Descripcion,Duplicados,Stock Bodega,Inventario Bodega,Stock Matriz,Inventario Matriz,Stock La Serena,Inventario La Serena,Stock Industrial,Inventario Industrial,Ult. compra,Ult. venta
REPARACION INDUCIDO,"-00073136
-00073278
","0
0
","S
S
","0
0
","N
","0
0
","N
N
","0
0
",,"11/07/2019
18/11/2016
","18/11/2016
20/12/2017
"
JUEGO PEDALERA SILVER,"-00001137
-00036090
","0
0
","S
S
","4
0
","N
N
","0
0
","N
N
","0
0
",,"12/08/2014
01/04/2016
","22/05/2012
24/06/2014
"
HERRAMIENTAS. TORNO 5/16X2.1/2 10%,"-00011513
-00107697
","0
0
","S
S
","0
0
","N
N
","0
0
",,"0
0
",,"30/09/2016
08/02/2013
","26/07/2010
18/02/2010
"
CANDADO,"-00024926
-00024927
-00024930
-00024933
-00024934
-00024935
","0
0
0
0
0
0
","S
S
S
S
S
S
","1
3
0
0
84
0
","S
S
S
S
S
S
","0
0
0
0
10
0
","N
N
N
N
N
N
","0
0
0
0
1
0
","S
S
S
S
S
S
","12/09/2019
08/03/2022
12/12/2019
23/07/2019
12/04/2022
12/05/2021
","07/01/2017
16/06/2017
02/12/2019
06/04/2018
03/09/2018
03/09/2018
"
JUEGO CADENA NIEVE ARO,"-00034220
-00034222
-00034225
","0
0
0
","S
S
S
","0
0
0
","N
N
N
","0
0
0
","N
N
","0
0
0
",,"14/06/2012
08/06/2012
15/06/2012
","


"
REGULADOR 12V AUTOS CHINO,"-00076044
-00080354
","0
0
","S
S
","1
0
","N
N
","2
3
","S
S
","0
0
",,"01/06/2021
21/08/2019
","10/06/2020
19/05/2017
"
"COMPAS EXTERIOR 10"" #2191","-00011464
-00107856
","0
0
","S
S
","0
0
","N
","0
0
",,"0
0
",,"11/02/2022

","10/02/2022
23/09/2010
"
INSERTO CAMBIO NISSAN VERSA,"-00112693
-00112702
","1
1
","N
N
","0
0
","N
N
","0
0
",,"0
0
",,"14/11/2022
14/11/2022
","12/11/2022
12/11/2022
"
W 712/19,"-00005666
-00049734
","0
160
","S
S
","39
0
","S
S
","4
0
","S
","0
0
","S
","20/02/2023

","10/02/2023
19/08/2021
"
MALLA XS-2062,"-00096142
-00096143
","0
0
","S
S
","11
6
","N
N
","0
4
","N
N
","0
1
","N
N
","07/07/2022
05/07/2022
","18/04/2020
18/04/2020
"
OPTICO SIN ANTINIEBLA RH KIA FRONTIER,"-00075068
-00075069
","0
0
","S
S
","2
1
","N
N
","0
0
","N
N
","0
0
",,"

","22/03/2016
22/03/2016
"
CORREA DENTADA A62 12.5X1625,"-00016489
-00016843
","0
0
","S
S
","5
2
","N
S
","12
3
","S
N
","0
2
","S
","06/06/2020
14/09/2022
","08/07/2021
26/12/2022
"
GOLILLA PLANA INOX 1/4,"-00011319
-00067646
","0
0
","S
S
","26
505
","N
N
","704
0
","S
N
","1135
0
","N
N
","17/02/2023
29/08/2022
","28/12/2022
20/04/2022
"
CUBRE VOLANTE AZUL CUERINA,"-00059484
-00059485
","0
0
","S
S
","20
12
","N
N
","9
4
","S
N
","0
0
","N
N
","11/01/2022
13/01/2022
","18/03/2021
18/03/2021
"
SENSOR RETROCESO,"-00069433
-00110487
","0
0
","S
S
","8
0
","N
","4
0
","N
","0
0
",,"25/01/2023

","19/11/2022

"
REGULADOR 12V,"-00080355
-00085314
-00097780
","0
0
0
","S
S
S
","2
0
0
","N
","1
0
1
","S
N
N
","0
0
0
",,"
02/03/2018
11/05/2022
","14/06/2022
02/03/2018
15/01/2021
"
PLASTICO FAROL TRASERO ACRILICO SCANIA 349 MM GF20,"-00000399
-00000400
","0
0
","S
S
","0
3
","N
N
","0
0
",,"0
0
",,"28/08/2017
28/01/2010
","18/12/2013
18/12/2013
"
SET AMP LED 12V 21/5W 2PZA,"-00007172
-00007173
","0
0
","S
S
","0
0
",,"0
9
","N
N
","0
0
",,"14/03/2022
15/02/2023
","18/01/2022
18/01/2022
"
RECOGEDOR ACEITE USADO 70LTS SAMOA,"-00042419
-00075338
","0
0
","S
S
","0
0
","N
S
","0
0
","N
","0
0
","N
","14/11/2022
04/03/2021
","10/11/2022
20/11/2020
"
CAMARA DE CONDUCCION,"-00075273
-00078148
","0
0
","S
S
","4
4
","N
N
","0
0
","N
","0
0
",,"23/02/2021
31/07/2021
","17/12/2019
17/12/2019
"
PLUMILLA 18 CURVA,"-00025641
-00068269
","0
0
","S
S
","125
41
","N
N
","0
0
","N
N
","0
4
","N
","15/06/2021
13/02/2023
","15/03/2021
30/11/2022
"
TERMINAL LUCAS C/F HEMBRA 3M AMBAR,"-00000355
-00000358
","0
0
","S
S
","928
2274
","S
S
","1
1077
","S
N
","319
342
","N
N
","16/02/2023
16/02/2023
","19/01/2022
17/02/2023
"
WK 920/1,"-00005979
-00045173
","0
0
","S
S
","9
0
","N
S
","9
0
","S
N
","0
1
","S
N
","18/02/2023
28/10/2022
","26/12/2022
13/03/2021
"
ITEM CREADO POR EL ACTUALIZADOR,"-00014581
-00095483
-00096660
-00110738
","0
0
0
0
","S
S
S
S
","10
7
0
0
","S
N
S
S
","0
0
0
0
","N
N
","0
0
0
0
","N
","



","



"
RELAY 12V 4P LUCES TOY TW,"-00028696
-00028701
","0
0
","S
S
","0
0
","S
S
","0
0
","N
N
","0
0
",,"16/09/2020
16/01/2021
","06/10/2014
24/01/2014
"
PLUMILLA 22 RECTA UNIPOINT,"-00053401
-00060507
","0
0
","S
S
","11
0
","N
N
","0
0
","N
N
","0
0
","N
","28/05/2019
04/03/2019
","08/05/2017
17/03/2016
"
PERNO HEX ZINC 1.1/4x8,"-00051397
-00054179
","0
0
","S
S
","0
0
",,"0
0
",,"0
0
",,"

","

"
WK 842/18,"-00005965
-00049845
","0
0
","S
S
","0
0
","N
","0
3
","S
S
","0
0
",,"09/07/2021
20/03/2021
","30/11/2017
05/11/2016
"
