Descripcion,Duplicados,Stock Bodega,Inventario Bodega,Ult. compra Bodega,Ult. Venta Bodega,Stock Matriz,Inventario Matriz,Ult. compra Matriz,Ult. venta Matriz,Stock La Serena,Inventario La Serena,Ult. compra La Serena,Ult. venta La Serena,Stock Industrial,Inventario Industrial,Ult. compra Industrial,Ult. venta Industrial
FAROL TRAS RH TOY HILUX,"-00062293
-00066711
","0
0
",,"05/01/2023
28/01/2022
","06/02/2023
31/01/2022
","1
2
","N
N
","05/01/2023
28/01/2022
","06/02/2023
31/01/2022
","0
0
","N
S
","05/01/2023
28/01/2022
","06/02/2023
31/01/2022
","0
0
",,"05/01/2023
28/01/2022
","06/02/2023
31/01/2022
"
TUERCA SEG PLAST INOX MM 10 P-1.5,"-00011116
-00104866
","0
0
","S
","27/10/2022
23/08/2011
","01/02/2023
23/01/2023
","287
-8
","N
N
","27/10/2022
23/08/2011
","01/02/2023
23/01/2023
","108
0
","N
","27/10/2022
23/08/2011
","01/02/2023
23/01/2023
","246
0
","S
","27/10/2022
23/08/2011
","01/02/2023
23/01/2023
"
CHAVETA PARTIDA 1/8 X 1.1/4,"-00010835
-00104748
","0
0
","S
","20/10/2022
21/07/2011
","03/02/2023
30/04/2012
","258
0
","N
N
","20/10/2022
21/07/2011
","03/02/2023
30/04/2012
","81
0
","S
","20/10/2022
21/07/2011
","03/02/2023
30/04/2012
","285
0
","N
","20/10/2022
21/07/2011
","03/02/2023
30/04/2012
"
MANGUERA CALEFA NISSAN V-16 5/8X5/8X10,"-00019852
-00019853
","0
0
",,"

","18/04/2017
06/01/2016
","0
0
","N
N
","

","18/04/2017
06/01/2016
","0
0
",,"

","18/04/2017
06/01/2016
","0
0
",,"

","18/04/2017
06/01/2016
"
FAR TRAS,"-00202108
-00202311
","0
0
",,"

","

","1
2
","N
N
","

","

","0
0
",,"

","

","0
0
",,"

","

"
TUERCA MM 12 P-1.75,"-00011063
-00101941
","0
0
","S
","05/12/2022
19/02/2011
","16/02/2023
28/04/2012
","2126
0
","N
N
","05/12/2022
19/02/2011
","16/02/2023
28/04/2012
","621
0
","S
","05/12/2022
19/02/2011
","16/02/2023
28/04/2012
","850
0
","S
","05/12/2022
19/02/2011
","16/02/2023
28/04/2012
"
CUBRE VOLANTE AZUL CUERINA,"-00059484
-00059485
","0
0
","S
S
","18/03/2021
18/03/2021
","11/01/2022
13/01/2022
","20
12
","N
N
","18/03/2021
18/03/2021
","11/01/2022
13/01/2022
","9
4
","S
N
","18/03/2021
18/03/2021
","11/01/2022
13/01/2022
","0
0
","N
N
","18/03/2021
18/03/2021
","11/01/2022
13/01/2022
"
AMPOLLETA H3 12V 55W TW,"-00000032
-00101506
","0
0
","S
","13/06/2012
07/07/2011
","15/07/2021
20/04/2016
","1298
0
","S
N
","13/06/2012
07/07/2011
","15/07/2021
20/04/2016
","6
0
","S
","13/06/2012
07/07/2011
","15/07/2021
20/04/2016
","0
0
",,"13/06/2012
07/07/2011
","15/07/2021
20/04/2016
"
PERNO PARKER INOX 1/4 X 3/4,"-00009312
-00103326
","0
0
","S
","15/10/2021
10/01/2011
","06/01/2023
19/11/2011
","52
0
","N
N
","15/10/2021
10/01/2011
","06/01/2023
19/11/2011
","0
0
",,"15/10/2021
10/01/2011
","06/01/2023
19/11/2011
","34
0
","N
","15/10/2021
10/01/2011
","06/01/2023
19/11/2011
"
EMBLEMA GREAT WALL SAFE TRAS / LAT,"-00025386
-00025393
","0
0
",,"
01/06/2011
","01/12/2015
16/10/2014
","2
1
","N
N
","
01/06/2011
","01/12/2015
16/10/2014
","0
0
","N
N
","
01/06/2011
","01/12/2015
16/10/2014
","0
0
",,"
01/06/2011
","01/12/2015
16/10/2014
"
VW AMAROK AMORTIGUADOR DEL,"-00003368
-00003373
","0
0
",,"24/02/2017
24/02/2017
","27/02/2017
27/02/2017
","0
0
","N
N
","24/02/2017
24/02/2017
","27/02/2017
27/02/2017
","0
0
","N
N
","24/02/2017
24/02/2017
","27/02/2017
27/02/2017
","0
0
",,"24/02/2017
24/02/2017
","27/02/2017
27/02/2017
"
FAROL LATERAL 10 LED BI-VOL 100 MM CORBATA STROBO,"-00056249
-00058035
","0
0
","S
S
","15/03/2021
09/12/2022
","20/10/2022
15/02/2023
","0
52
","S
S
","15/03/2021
09/12/2022
","20/10/2022
15/02/2023
","0
46
","N
N
","15/03/2021
09/12/2022
","20/10/2022
15/02/2023
","4
26
","N
S
","15/03/2021
09/12/2022
","20/10/2022
15/02/2023
"
AMPOLLETA H3 24V 70W OSRAM,"-00058612
-00100395
","0
0
",,"06/11/2014
20/08/2011
","13/07/2017
12/12/2013
","4
0
","N
N
","06/11/2014
20/08/2011
","13/07/2017
12/12/2013
","0
0
","N
","06/11/2014
20/08/2011
","13/07/2017
12/12/2013
","0
0
",,"06/11/2014
20/08/2011
","13/07/2017
12/12/2013
"
PLACA DIODO MER103,"-00051379
-00054214
","0
0
",,"15/07/2016
26/12/2019
","03/08/2019
30/04/2022
","3288
4
","N
N
","15/07/2016
26/12/2019
","03/08/2019
30/04/2022
","0
0
",,"15/07/2016
26/12/2019
","03/08/2019
30/04/2022
","0
0
",,"15/07/2016
26/12/2019
","03/08/2019
30/04/2022
"
TERMINAL LUCAS C/F HEMBRA 3M AMBAR,"-00000355
-00000358
","0
0
","S
S
","19/01/2022
17/02/2023
","16/02/2023
16/02/2023
","928
2274
","S
S
","19/01/2022
17/02/2023
","16/02/2023
16/02/2023
","1
1077
","S
N
","19/01/2022
17/02/2023
","16/02/2023
16/02/2023
","319
342
","N
N
","19/01/2022
17/02/2023
","16/02/2023
16/02/2023
"
FOCO PUNTA TAPABARRO TOY LAND CRUISER,"-00067695
-00067696
","0
0
",,"18/02/2015
18/02/2015
","20/02/2015
20/02/2015
","0
0
","N
N
","18/02/2015
18/02/2015
","20/02/2015
20/02/2015
","0
0
",,"18/02/2015
18/02/2015
","20/02/2015
20/02/2015
","0
0
",,"18/02/2015
18/02/2015
","20/02/2015
20/02/2015
"
MOTOROLA MOTO G8,"-00089895
-00096305
","0
0
",,"14/05/2019

","28/04/2020
07/07/2020
","0
0
","S
N
","14/05/2019

","28/04/2020
07/07/2020
","0
0
","N
","14/05/2019

","28/04/2020
07/07/2020
","0
0
",,"14/05/2019

","28/04/2020
07/07/2020
"
AMPOLLETA H7 12V 55W TW,"-00000043
-00100798
","0
0
","S
","03/05/2021
31/08/2011
","01/02/2023
08/10/2015
","66
0
","S
N
","03/05/2021
31/08/2011
","01/02/2023
08/10/2015
","18
0
","S
","03/05/2021
31/08/2011
","01/02/2023
08/10/2015
","0
0
",,"03/05/2021
31/08/2011
","01/02/2023
08/10/2015
"
PERNO PARKER INOX MM 6 X 50,"-00010444
-00102549
","0
0
","S
","11/11/2021
20/06/2011
","11/01/2023
23/10/2012
","-14
0
","N
N
","11/11/2021
20/06/2011
","11/01/2023
23/10/2012
","0
0
","N
","11/11/2021
20/06/2011
","11/01/2023
23/10/2012
","63
0
","N
","11/11/2021
20/06/2011
","11/01/2023
23/10/2012
"
GOLILLA PLANA 1.3/8 CALIB,"-00011352
-00052523
","0
0
","S
S
","
11/12/2013
","08/01/2016
02/03/2017
","9
78
","N
N
","
11/12/2013
","08/01/2016
02/03/2017
","0
0
","N
","
11/12/2013
","08/01/2016
02/03/2017
","0
0
",,"
11/12/2013
","08/01/2016
02/03/2017
"
AMPOLLETA SOFITO 3157 12V 32/3CP C/SOQ WAGNER/BLOS,"-00101965
-00107369
","0
0
",,"25/03/2011
25/03/2011
","09/08/2012
16/05/2012
","0
0
","N
N
","25/03/2011
25/03/2011
","09/08/2012
16/05/2012
","0
0
",,"25/03/2011
25/03/2011
","09/08/2012
16/05/2012
","0
0
",,"25/03/2011
25/03/2011
","09/08/2012
16/05/2012
"
TUERCA HEX GALV 1/2,"-00011200
-00105998
","0
0
","S
","03/11/2022
26/05/2011
","05/12/2022
04/02/2012
","550
0
","N
N
","03/11/2022
26/05/2011
","05/12/2022
04/02/2012
","0
0
","N
","03/11/2022
26/05/2011
","05/12/2022
04/02/2012
","200
0
","N
","03/11/2022
26/05/2011
","05/12/2022
04/02/2012
"
PIOLA EMB SUZ MARUTI,"-00041208
-00041504
","0
0
",,"18/07/2022
02/09/2019
","16/11/2022
06/03/2021
","1
0
","N
N
","18/07/2022
02/09/2019
","16/11/2022
06/03/2021
","1
0
","N
N
","18/07/2022
02/09/2019
","16/11/2022
06/03/2021
","0
0
",,"18/07/2022
02/09/2019
","16/11/2022
06/03/2021
"
FOCO FAENA 14 LED RED 9-33V BLST CORTO HELLA ALC H,"-00092046
-00094941
-00094943
","0
0
0
","S
S
","15/05/2019
27/12/2019
28/05/2020
","
15/11/2021
14/07/2021
","10
0
0
","N
S
S
","15/05/2019
27/12/2019
28/05/2020
","
15/11/2021
14/07/2021
","0
0
2
","N
N
","15/05/2019
27/12/2019
28/05/2020
","
15/11/2021
14/07/2021
","0
0
0
","N
N
","15/05/2019
27/12/2019
28/05/2020
","
15/11/2021
14/07/2021
"
PLACA DIODO MAZDA ARTIS #IMR8572,"-00043873
-00102257
","0
0
",,"06/04/2021
28/02/2011
","07/06/2019
30/03/2012
","0
0
","N
N
","06/04/2021
28/02/2011
","07/06/2019
30/03/2012
","1
0
","N
","06/04/2021
28/02/2011
","07/06/2019
30/03/2012
","0
0
",,"06/04/2021
28/02/2011
","07/06/2019
30/03/2012
"
CORREA DISTRIB 163 MR25 HYUN H100/ L200 4D56 DIESE,"-00037642
-00037873
","0
0
",,"18/07/2022
21/02/2020
","24/05/2022
31/08/2020
","2
0
","N
N
","18/07/2022
21/02/2020
","24/05/2022
31/08/2020
","0
0
","N
N
","18/07/2022
21/02/2020
","24/05/2022
31/08/2020
","0
0
",,"18/07/2022
21/02/2020
","24/05/2022
31/08/2020
"
PERNO PARKER INOX 3/16 X 1,"-00009309
-00108080
","0
0
","S
","10/01/2022

","03/06/2022
13/09/2012
","44
0
","N
N
","10/01/2022

","03/06/2022
13/09/2012
","0
0
",,"10/01/2022

","03/06/2022
13/09/2012
","50
0
","N
","10/01/2022

","03/06/2022
13/09/2012
"
ROD TENSOR CORREA DIST HONDA CIVIC 1.6 93/00,"-00062324
-00065530
","0
0
",,"21/12/2016
24/11/2018
","22/08/2016
26/11/2018
","0
0
","N
N
","21/12/2016
24/11/2018
","22/08/2016
26/11/2018
","0
0
","N
N
","21/12/2016
24/11/2018
","22/08/2016
26/11/2018
","0
0
",,"21/12/2016
24/11/2018
","22/08/2016
26/11/2018
"
MANGUERA CALEFA CHEV LUV 2.3CC,"-00019823
-00019824
","0
0
",,"

","01/02/2019
01/08/2022
","0
0
","N
N
","

","01/02/2019
01/08/2022
","0
0
","N
","

","01/02/2019
01/08/2022
","0
0
",,"

","01/02/2019
01/08/2022
"
EMPAQ MOTOR TOY HILUX Y/2Y/3Y,"-00029356
-00031925
","0
0
",,"09/09/2020
07/10/2013
","10/09/2020
03/12/2013
","0
0
","N
N
","09/09/2020
07/10/2013
","10/09/2020
03/12/2013
","0
0
","N
","09/09/2020
07/10/2013
","10/09/2020
03/12/2013
","0
0
",,"09/09/2020
07/10/2013
","10/09/2020
03/12/2013
"
REGULADOR 12V AUTOS CHINO,"-00076044
-00080354
","0
0
","S
S
","10/06/2020
19/05/2017
","01/06/2021
21/08/2019
","1
0
","N
N
","10/06/2020
19/05/2017
","01/06/2021
21/08/2019
","2
3
","S
S
","10/06/2020
19/05/2017
","01/06/2021
21/08/2019
","0
0
",,"10/06/2020
19/05/2017
","01/06/2021
21/08/2019
"
REP RENAULT,"-00200925
-00205348
","0
0
",,"

","

","0
1
","N
N
","

","

","0
0
",,"

","

","0
0
",,"

","

"
GUIA CADENA DIST NISS D22 YD25,"-00064023
-00064024
-00064025
-00064026
","0
0
0
0
",,"12/08/2014
12/08/2014
12/08/2014
12/08/2014
","13/08/2014
25/08/2014

13/08/2014
","1
1
1
1
","N
N
N
N
","12/08/2014
12/08/2014
12/08/2014
12/08/2014
","13/08/2014
25/08/2014

13/08/2014
","0
0
0
0
",,"12/08/2014
12/08/2014
12/08/2014
12/08/2014
","13/08/2014
25/08/2014

13/08/2014
","0
0
0
0
",,"12/08/2014
12/08/2014
12/08/2014
12/08/2014
","13/08/2014
25/08/2014

13/08/2014
"
C 2500 KENDALL,"-00061089
-00071793
","0
0
",,"27/09/2019
28/11/2020
","20/07/2020
01/02/2022
","0
0
","N
N
","27/09/2019
28/11/2020
","20/07/2020
01/02/2022
","18
1
","S
S
","27/09/2019
28/11/2020
","20/07/2020
01/02/2022
","0
0
",,"27/09/2019
28/11/2020
","20/07/2020
01/02/2022
"
PAST FRENO PP5108 FORD EXPLORER,"-00020333
-00029571
","0
0
",,"14/02/2023
15/06/2020
","17/02/2023
26/09/2022
","0
0
","N
N
","14/02/2023
15/06/2020
","17/02/2023
26/09/2022
","0
0
","N
N
","14/02/2023
15/06/2020
","17/02/2023
26/09/2022
","0
0
",,"14/02/2023
15/06/2020
","17/02/2023
26/09/2022
"
ACOPLE RAPIDO 1/4 - 1/8 GAS MACHO BRONCE,"-00021322
-00021362
","0
0
","S
S
","28/02/2022
10/12/2013
","31/01/2023
04/03/2014
","29
0
","N
N
","28/02/2022
10/12/2013
","31/01/2023
04/03/2014
","0
0
","N
","28/02/2022
10/12/2013
","31/01/2023
04/03/2014
","0
0
",,"28/02/2022
10/12/2013
","31/01/2023
04/03/2014
"
