C. malo,D. mala,F.Compra,F.Venta,I.bodega,I.matriz,I.serena,I.industrial,C. bueno,D. buena,F.Compra,F.Venta,I.bodega,I.matriz,I.serena,I.industrial
00038397,6PK965,02/08/2021,04/08/2022,,N,N,,00111131,CORREA 6PK965,25/01/2022,,S,,S,
00038751,6PK1025,02/08/2021,22/11/2021,,N,N,,00085487,CORREA 6PK1025,25/01/2022,24/09/2018,,N,N,
00038792,6PK1300,02/08/2021,07/04/2022,S,,N,,00017136,CORREA 6PK1300,19/12/2012,07/10/2017,,N,N,
00039027,6PK1450,02/08/2021,29/09/2021,,S,N,,00063385,CORREA 6PK1450,21/07/2018,28/09/2021,,N,N,
00039071,6PK1550,02/08/2021,06/09/2021,,N,N,,00017179,CORREA 6PK1550,25/01/2022,18/11/2022,,N,N,
00039921,4PK665,02/08/2021,28/03/2022,S,N,N,,00040815,CORREA 4PK665,17/01/2023,17/02/2023,,N,N,
00040039,4PK700,02/08/2021,,S,,N,,00016956,CORREA 4PK700,15/10/2019,17/02/2021,,N,N,
00040103,4PK715,02/08/2021,23/10/2012,S,N,N,,00016978,CORREA 4PK715,16/09/2016,19/06/2018,,N,,
00040180,4PK725,02/08/2021,25/11/2021,,N,N,,00016960,CORREA 4PK725,20/10/2021,17/12/2022,,N,S,
00040810,4PK780,02/08/2021,28/12/2021,,S,N,,00016971,CORREA 4PK780,29/09/2022,17/12/2022,S,N,S,N
00040994,4PK805,02/08/2021,15/11/2022,S,N,N,,00016980,CORREA 4PK805,04/03/2021,01/06/2022,,N,S,
00041112,4PK810,02/08/2021,10/11/2021,,N,N,,00016982,CORREA 4PK810,03/01/2023,20/02/2023,,N,N,S
00041124,4PK820,02/08/2021,23/11/2021,,N,N,,00016984,CORREA 4PK820,02/08/2022,03/08/2022,,N,N,
00041232,4PK830,27/08/2022,19/12/2022,,S,N,,00016986,CORREA 4PK830,03/02/2021,22/02/2022,,N,N,
00041233,4PK835,02/08/2021,05/03/2022,,S,N,,00016988,CORREA 4PK835,15/02/2023,27/01/2023,,N,N,
00041275,4PK840,02/08/2021,04/12/2021,,,N,,00016989,CORREA 4PK840,30/06/2022,30/07/2022,,N,N,
00041280,4PK845,02/08/2021,22/09/2021,,N,N,,00016990,CORREA 4PK845,26/10/2022,26/01/2023,,N,N,S
00041654,4PK855,02/08/2021,26/02/2022,,N,N,,00016993,CORREA 4PK855,24/02/2021,10/06/2021,,N,N,
00041714,4PK860,02/08/2021,09/04/2022,,N,N,,00016994,CORREA 4PK860,05/03/2021,02/11/2021,,N,N,
00041850,4PK875,02/08/2021,27/08/2021,,S,S,S,00016997,CORREA 4PK875,03/02/2020,19/04/2021,,N,N,
00041922,4PK885,02/08/2021,12/01/2022,,N,N,,00017000,CORREA 4PK885,05/11/2022,24/01/2023,,N,N,
00041923,4PK890,02/08/2021,26/01/2022,,N,N,,00017002,CORREA 4PK890,23/02/2021,10/02/2023,,N,N,
00041924,4PK920,02/08/2021,08/10/2021,,N,N,,00017009,CORREA 4PK920,14/10/2022,18/01/2023,,N,N,
00041924,4PK920,02/08/2021,08/10/2021,,N,N,,00089908,CORREA 4PK920,14/10/2020,08/06/2021,,N,N,
00041924,4PK920,02/08/2021,08/10/2021,,N,N,,00097035,CORREA 4PK920,22/11/2021,19/04/2022,,N,,
00041927,4PK925,02/08/2021,03/01/2022,,S,N,,00017010,CORREA 4PK925,25/01/2022,28/04/2022,,N,N,
00042352,4PK930,02/08/2021,19/11/2021,,S,N,,00017012,CORREA 4PK930,28/11/2022,12/09/2022,,N,N,
00042438,4PK965,02/08/2021,16/08/2021,,N,N,,00017021,CORREA 4PK965,05/03/2021,27/12/2022,,N,,
00042844,4PK980,02/08/2021,20/01/2022,,S,N,,00017024,CORREA 4PK980,03/03/2020,16/05/2020,,N,N,
00043065,4PK1005,02/08/2021,,,N,N,,00017029,CORREA 4PK1005,03/03/2022,26/12/2022,S,N,N,
00043067,4PK1010,02/08/2021,14/11/2022,,N,N,,00017031,CORREA 4PK1010,07/01/2020,09/04/2020,,N,S,
00043091,4PK1050,02/08/2021,19/02/2014,,N,N,,00111127,CORREA 4PK1050,25/01/2022,09/12/2022,S,,S,
