,Descripcion,Codigos donde esta duplicado
0,PLUMILLA 24 CURVA,00001280 - 00068272
1,ANGULO LAMINADO 30X30X3,00039036 - 00050032
2,CAMARA DE CONDUCCION,00075273 - 00078148
3,SET AMP LED 12V 21/5W 2PZA,00007172 - 00007173
4,REGULADOR 12V,00080355 - 00085314 - 00097780
5,"COMPAS EXTERIOR 10"" #2191",00011464 - 00107856
6,OPTICO SIN ANTINIEBLA RH KIA FRONTIER,00075068 - 00075069
7,JUEGO DE LLAVES HEXAGONALES 9PZAS JONNESWAY,00053931 - 00053932
8,JUEGO PEDALERA SILVER,00001137 - 00036090
9,EMBRAGUE MOTOR ARRANQ ZEN,00027162 - 00027163 - 00027164 - 00027165
10,ACOPLE RAPIDO 3/8 - 3/8 GAS MACHO BRONCE,00021328 - 00021364
11,GOLILLA PLANA 1.3/8 CALIB,00011352 - 00052523
12,CUBRE VOLANTE AZUL CUERINA,00059484 - 00059485
13,CORREDERA D-100,00074181 - 00088026
14,FOCO FAENA 14 LED RED 9-33V BLST CORTO HELLA ALC H,00094941 - 00094943
15,MALLA XS-2062,00096142 - 00096143
16,PERNO HEX ZINC 1.1/4x6.1/2,00051395 - 00054183
17,"DADO IMPACTO CROSSMAN 2"" 5/16",00095243 - 00095244
18,LIJA FIERRO # 280,00006110 - 00112648
19,TERMINAL LUCAS C/F HEMBRA 3M AMBAR,00000355 - 00000358
20,"FAROL TRASERO 10 LED C/BISEL REFLEC. BI-VOL 4"" RED",00037780 - 00072659 - 00090982
21,PERNO HEX ZINC 1.1/4x8,00051397 - 00054179
22,SENSOR RETROCESO,00069433 - 00110487
23,TUERCA RUE CONICA M18 RH P2.0 HEX 27 FIAT,00024365 - 00024366
24,INSERTO CAMBIO NISSAN VERSA,00112693 - 00112702
25,RELAY 12V 4P LUCES TOY TW,00028696 - 00028701
26,REGULADOR 12V AUTOS CHINO,00076044 - 00080354
27,PLUMILLA 18 CURVA,00025641 - 00068269
28,WK 842/18,00005965 - 00049845
29,TUERCA SEG PLAST MM 24 P-1.5,00011170 - 00105080
30,ABRAZADERA MANG INOX 84-108 MM # 60,00012807 - 00012808
31,PLUMILLA 22 RECTA UNIPOINT,00053401 - 00060507
32,PEDALERA AZUL,00036087 - 00036088 - 00036091 - 00036093
33,"HERRAMIENTAS. TORNO 3/8X3""",00011514 - 00107080
34,ADAPTADOR POWER CHANGE BOSCH,00110764 - 00111442
35,REPARACION INDUCIDO,00073136 - 00073278
36,VOLANTE DEPORTIVO,00035619 - 00035620
37,JUEGO CADENA AR16 C/TENSOR,00063386 - 00063387
38,LIMA,00006521 - 00006799
39,JUEGO CADENA NIEVE ARO,00034220 - 00034222 - 00034225
40,GOLILLA PLANA INOX 1/4,00011319 - 00067646
41,HERRAMIENTAS. TORNO 5/16X2.1/2 10%,00011513 - 00107697
42,CORREA DENTADA A62 12.5X1625,00016489 - 00016843
43,ITEM CREADO POR EL ACTUALIZADOR,00014581 - 00095483 - 00096660 - 00110738
44,GOLILLA PRESION GALV 1,00053139 - 00109438
45,TUERCA HEX INOX 7/8,00011091 - 00102610
46,TERMINAL DE DIRECCION,00055980 - 00055981
47,PARACHOQUE TRASERO HYUNDAI,00089571 - 00089674
48,ACOPLE RAPIDO 1/2 - 3/8 GAS MACHO BRONCE,00021330 - 00021365
49,CARPETA CON ACCO AZUL,00067131 - 00111105
50,WK 920/1,00005979 - 00045173
51,TUERCA HEX INOX 5/8,00011089 - 00100325
52,CANDADO,00024926 - 00024927 - 00024930 - 00024933 - 00024934 - 00024935
53,ACOPLE RAPIDO 1/4 - 1/8 GAS MACHO BRONCE,00021322 - 00021362
54,SWITCH ALZA VIDRIO C/LUZ,00093816 - 00093817
55,GOLILLA PRESION GALV 5/8,00053711 - 00100585
56,FAROL LATERAL 10 LED BI-VOL 100 MM CORBATA STROBO,00056249 - 00058035
57,INTERRUP PALANCA 3 POS METAL,00000104 - 00056284
58,TERMINAL LUCAS C/F MACHO 3M AMBAR,00000354 - 00000357
59,KIT,00041143 - 00041146
60,FILTRO DE ACEITE,00006254 - 00018125
61,JGO PERNO SEGURIDAD M12 P 1.5,00077483 - 00077487
62,ABRAZ INOX 11/16 A 1-1/4,00079640 - 00079650
63,W 712/19,00005666 - 00049734
64,"COMPAS RECTO 10"" #2187",00011462 - 00103225
65,RECOGEDOR ACEITE USADO 70LTS SAMOA,00042419 - 00075338
66,PLASTICO FAROL TRASERO ACRILICO SCANIA 349 MM GF20,00000399 - 00000400
