,Descripcion,Familia,Codigos donde esta duplicado
0,PLUMILLA 18 CURVA,ACCESORIOS,00025641 - 00068269
1,BRAZO AXIAL SOLO TOY HILUX,TOY,00066758 - 00079791 - 00111800
2,AMPOLLETA 9007 12V 65/55W TW,AMPOLLETA,00000048 - 00100185
3,RADIADOR,SAMSUNG,00043076 - 00200591 - 00200594 - 00200817 - 00201300
4,CAJA REGULADORA 24V,ELECTRICO,00017942 - 00091511
5,ALTERNADOR 12V,ELECTRICO,00038761 - 00051491 - 00080143 - 00087682
6,MANILLA EXT RH SUZ VITARA,SUZUKI,00039339 - 00070168
7,MANGUERA GASES CITROEN BERLINGO,VARIOS ,00085929 - 00085959
8,PATIN FRENO SAMSUNG SM3,SAMSUNG,00057699 - 00061842
9,SOLENOIDE 24V,VARIOS ,00079987 - 00092976 - 00097427
10,OPTICO LH RENAULT CLIO II,RENAULT,00062186 - 00098809
11,TERMINAL DE DIRECCION,VARIOS ,00055980 - 00055981
12,ROTULA BANDEJA SUPERIOR LH/RH TOYOTA HILUX,TOY,00083211 - 00091678
13,TENSOR CADENA DISTRIBUCION NIS V16,NISSAN,00078121 - 00078122
14,FOCO FAENA 14 LED RED 9-33V BLST CORTO HELLA ALC H,FAROLES,00094941 - 00094943
15,LOGO MAZDA CROMO,ROTACION ,00008056 - 00058027
16,ROD 6305 2RS KML,RODAMIENTOS,00036734 - 00036758
17,BIELETA BARRA ESTABILIZADORA DELANTERA LH,TOY,00080439 - 00080585
18,MANILLA INTERIOR HYUNDAI H-100,VARIOS ,00087020 - 00087021
19,GUIA PARACHOQUE DELANTERO RH PLASTICO TY HILUX,TOY,00074749 - 00085986
20,MASCARA CROMADA TOY HILUX,ROTACION ,00006939 - 00068727
21,EMBLEMA TOYOTA,ACCESORIOS,00041974 - 00060815 - 00093037
22,PASTILLA FRENO CHRYSLER PP1729,PASTILLA FRENO,00072844 - 00092096
23,PARACHOQUE DELANTERO TOYOTA TERCEL 98-00,TOY,00080681 - 00082720
24,BOMBA EMBRAGUE HYUNDAI TUCSON,VARIOS ,00086383 - 00086497
25,REGULADOR 12V AUTOS CHINO,ELECTRICO,00076044 - 00080354
26,MANILLA EXT DELANT RH SUZ SWIFT 84/96,SUZUKI,00048965 - 00048966
27,FILTRO POLEN TOYOTA HILUX KUN VIGO,FILTROS,00080437 - 00087868
28,OPTICO LH,ENCARGO,00200678 - 00200893 - 00201080
29,EMBLEMA SUZUKI,ACCESORIOS,00014046 - 00060812
30,AMORTIGUADOR DELANTERO LH,CORDEL,00087115 - 00200492
31,BENDIX,ELECTRICO,00050183 - 00098504
32,REPARACION INDUCIDO,ELECTRICO,00073136 - 00073278
33,PASTILLA FRENO MERCEDES  PP1657,PASTILLA FRENO,00014440 - 00014442
34,C 3282,FILTROS,00004113 - 00050636
35,BROCHE 2327,ACCESORIOS,00015701 - 00044303
36,FLASHER 12V 3P,ELECTRICO,00036840 - 00042017
37,BRAZO AUX TOY HILUX 2.4 2RZFE 4WD,TOY,00052845 - 00052846
38,PAST FRENO PP776 NISS NP300,NISSAN,00016773 - 00027426
39,PAST FRENO 185 PP1009 HY H100D,PASTILLA FRENO,00029627 - 00049572
40,INTERRUP PALANCA 3 POS METAL,ACCESORIOS,00000104 - 00056284
41,FAROL TRAS RH TOY HILUX 16/,TOY,00043498 - 00079831
42,PIOLA FRENO MANO TOY HILUX 3000 KUN 26,TOY,00014566 - 00032239
43,JGO PASTILLA FRENO HYUNDAI,HYUN,00089169 - 00093035
44,MANILLA PUERTA INTERIOR DELANTERA Y TRAS HYUNDAI A,HYUN,00082042 - 00085097
45,VALVULA EGR RECIRCULADORA GASES CITROEN BERLINGO,CITROEN,00085088 - 00085950
46,FILTRO,ROTACION ,00008100 - 00112011
47,MANILLA PUERTA EXT DEL RH HY H100 93-,HYUN,00076311 - 00076314
48,JUEGO CABLE BUJIA HY EON,HYUN,00035428 - 00093909
49,TERMINAL LUCAS C/F HEMBRA 3M AMBAR,ELECTRICO,00000355 - 00000358
