,Descripcion,Familia,Codigos donde esta duplicado
0,SILLON RESPALDO BAJO,,00041839 - 00097298
1,AMORT PORTALON RH SUZ ALTO 06/13,SUZUKI,00052549 - 00076590
2,RETEN DE ACEITE,ROTACION ,00066573 - 00085172
3,VALVULA EGR RECIRCULADORA GASES CITROEN BERLINGO,CITROEN,00085088 - 00085950
4,ROTULA,VARIOS ,00055978 - 00200804 - 00200874 - 00201129 - 00202475
5,DONACION A EMPRESA COM LAS VEGAS,VARIOS ,00058266 - 00058276
6,MANGUERA SUP RAD DAIH,MANGUERAS,00020208 - 00020209
7,C 12110,FILTROS,00004166 - 00004167
8,BASE TERMOSTATO,CHEVROLET,00201512 - 00202004 - 00202866 - 00203266
9,BUJIA NGK BKR5EX,BUJIAS,00039604 - 00102423
10,CORTA CORRIENTE GRANDE 24V METAL HELLA,ACCESORIOS,00040960 - 00106220
11,KIT EMB SUB LEGACY 1.8/2.0/2.2,SUBARU,00042012 - 00063167
12,REP PEUGEOT,ENCARGO,00200967 - 00203552 - 00203571 - 00203795
13,PERNO PARKER INOX 1/4 X 1,PERNO,00009313 - 00105330
14,AMPOLLETA FUSIBLE 12V 11x44 15W TW,AMPOLLETA,00000028 - 00102828
15,BUJIA 3 ELECTRODOS VW GOLF A3,BUJIAS,00040886 - 00042371
16,DISCO EMBRAGUE GRAN NOMADE,SUZUKI,00014386 - 00081897
17,PARACHOQUE DELANTERO FUNDA CON MOLDURA TOYOTA HILU,TOY,00083028 - 00085371
18,TUERCA SEG PLAST INOX MM 12 P-1.75,TUERCAS,00011117 - 00106915
19,PARACHOQUE DEL KIA FRONTIER II 05/11,KIA,00076708 - 00076720
20,EMPAQ CULATA HONDA,EMPAQUETADURAS,00200089 - 00200971 - 00201726
21,BOMBA PRIMARIA SUCCION,ROTACION ,00082606 - 00082607
22,EMBLEMA DIESEL,ACCESORIOS,00013906 - 00013907
23,EMPAQ MOTOR SUZ F8A ST-90,SUZUKI,00029412 - 00029426
24,FOCO PUNTA TAPABARRO TOY LAND CRUISER,ROTACION ,00067695 - 00067696
25,CHAVETA PARTIDA 3/16 X 2,PERNO,00010844 - 00103732
26,CABLE ARAFLEX RV-K 3X1.5 MM2,,00043698 - 00079382
27,BOMBA AGUA TOY GWT-96A HILUX 2RZFE/3RZFE,TOY,00048457 - 00059719
28,"PERNO HEX INOX 304 1/2X3""",ROTACION ,00072557 - 00111557
29,EMPAQUETADURA TAPA VALVULA,EMPAQUETADURAS,00087767 - 00203526 - 00204735
30,PERNO PARKER INOX 3/16 X 3/4,PERNO,00009308 - 00104633
31,CUBRE VOLANTE AZUL CUERINA,ACCESORIOS,00059484 - 00059485
32,JUEGO CABLE BUJIA CHEV OPTRA 1.6,CHEVROLET,00034478 - 00040898
33,CORCHETERA FULTONS NEGRA,ROTACION ,00069811 - 00069812
34,BARRA LED 42 CM 10-30V 72W C,IMPORTACION,00113975 - 00113978
