,Descripcion,Codigos donde esta duplicado
0,REGULADOR,"00058259,00201973,00202021"
1,CAPOT TOYOTA HILUX,"00057729,00083654"
2,PRENSA EMB CHEV SAIL,"00062906,00063543"
3,OPTICO VITARA,"00203203,00203204"
4,FILTRO ACEITE,"00000649,00003407,00007459,00062274,00112837,00203629"
5,TERMOSTATO CHEVROLET SPARK,"00068248,00099394"
6,METALES BIELA,"00200722,00202937,00203515,00204508,00204609,00205105"
7,MANGUERA AIRE ESPI CON ACOP 5MM NARANJA TW,"00019728,00091655"
8,EMPAQUETADURA CULATA TOY DYNA,"00041589,00041590"
9,FOCO NEBLINERO NISSAN X-TRAIL 2003-04 NS023,"00025287,00031484"
10,REGULADOR 12V,"00078782,00079488,00080355,00081606,00081825,00082068,00082416,00085314,00089752,00097780"
11,GOLILLA PRESION 1.1/2,"00011374,00104241"
12,PINON EJE LEVA TY YARIS,"00051945,00051946"
13,DISCO FRENO PG BOXER 2.0/2.2/2.5 97- CIT JUMPER,"00076002,00076003"
14,FIBER CAN CHERRY BLAST,"00111398,00111401"
15,H 813x,"00004981,00004982"
16,EJE LEVA,"00200883,00201031,00201367"
17,RADIADOR,"00043076,00200195,00200359,00200378,00200591,00200594,00200817,00200832,00200978,00201041,00201300,00201341,00201528,00201711,00201737,00201798,00201870,00201979,00202292,00202391,00202725,00202751,00203314,00203842,00203956,00204454,00204520"
18,ALIMENTADOR MXF 65 6152100EL KEMPPI,"00067537,00072509"
19,REPARACION MOTOR ARRANQUE,"00066079,00108039"
20,METAL AXIAL STD,"00201253,00202287"
21,CORREA 6PK2235,"00085533,00205148"
22,TUERCA HEX G2 5/8 NC,"00010957,00202227"
23,RECOGEDOR ACEITE USADO 70LTS SAMOA,"00042419,00067039,00075338"
24,TUERCA SEG PLAST MM 12 P-1.75,"00011160,00100257"
25,AMORT,"00202266,00202854,00203514,00203651,00204401"
26,TUERCA MM 22 P-1.5,"00011062,00106230"
27,TUERCA SEG PLAST MM 18 P-1.5,"00011165,00105124"
28,CORREA,"00205047,00205418"
29,LAVADO Y BARNIZADO DE PIEZAS,"00400595,00400596"
30,TUERCA MM 18 P-2.5,"00011066,00104245"
31,NEUM,"00202163,00202513"
32,MANILLA INTERIOR HYUNDAI H-100,"00087020,00087021"
33,CENICERO CUADRADO GR,"00089968,00089969"
34,PU 932/8X,"00011982,00102390"
35,CILINDRO FRENO MITSUBISHI L200 1.6/2.0/2.4/2.5,"00020330,00020331"
36,C 2329/1 KENDALL,"00017484,00040362"
37,SOPORTE,"00201725,00202928,00203661,00205012,00205397"
38,PERNO TRILEX MM 18x90 P2.0,"00022084,00022099"
39,FUELLE DIREC PEUG 505,"00031537,00031538"
40,CORREA 7PK1560,"00016682,00058905"
41,SPRAY GRIS MAQUINA MARSON,"00113937,00113940"
42,TAQUI,"00201105,00204096"
43,GOLILLA PRESION 1.1/8,"00011371,00102947"
44,LOCTITE 7471 PRIMER T,"00000672,00102785"
45,CAZOLETA,"00200637,00200802,00203141,00203428,00205112"
46,PASTILLA,"00202328,00203102,00203926,00205004,00205164"
47,FAROL TRAS RH SSANG ACTYON SPORT 06/11,"00054401,00090283"
48,SOPORTE MOTOR PERKINS CUAD. 4HOY 45x110x10MM,"00032818,00032819"
49,PARACHOQUE DEL,"00200260,00200486,00200684,00201988,00202146,00202289,00202523,00203759"
50,SILLA ESCRITORIO C/GAS,"00035025,00040736"
51,KIT EMBRAGUE PEUG,"00201965,00205379"
52,BUJIA,"00201361,00205000"
53,EMPAQ MULTIPLE ADMISION NISSAN J18/,"00100044,00101570"
54,CAJA REG LUV AVR821 JP,"00026596,00026597"
55,EMBLEMA TOYOTA,"00041974,00060815,00093037"
56,BULBO TEMPERATURA 4PTS VW GOLF A4,"00051569,00051570"
57,CILINDRO,"00204069,00205066"
58,CORREA LISA 9.5X1060,"00025662,00057580"
59,OPTICO SIN ANTINIEBLA RH KIA FRONTIER,"00075068,00075069"
60,MANILLA PUERTA INTERIOR DELANTERA Y TRAS HYUNDAI E,"00084389,00084390"
61,PAST FRENO PP1027 HY,"00062416,00093802"
62,PERNO PARKER INOX MM 6 X 45,"00010443,00103900"
63,BOMBA AGUA D4CB ALT 110 MM HY H1/PORTER 12/ FRONTI,"00015275,00015280"
64,TUERCA HEX INOX 1.1/4,"00011094,00104264"
65,TUERCA HEX GALV 1/2,"00011200,00105998"
66,KIT EMBRAGUE COMPLETO PEUG PARTNER,"00014108,00090332"
67,KIT EMB FIESTA,"00201662,00202473"
68,TUERCA HEX BRONCE 1/8,"00011228,00106762"
69,SEGURO ELASTICO 3.5X50 (PINES),"00024001,00091416"
70,EJE KERAX,"00060235,00060520"
71,RODAMIENTO 17* 52*16 949100-3330 TW,"00043285,00101331"
72,FAROL TRAS PG 407,"00205141,00205142"
73,LUZ DE FRENO 5 LED 12V,"00092152,00092153"
74,EMBLEMA NISSAN,"00002990,00013980,00013983"
75,DESLIZADOR LH USK56,"00007681,00007686"
76,LLAVE SACA FILTRO CADENA TW,"00000219,00035710"
77,ROD EMB,"00200386,00200446,00205317"
78,BUJE BAND INF PARTE DEL NISSAN SUNNY 16*36*61,"00038366,00038367"
79,PERNO COCINA INOX 5/32 X 1.1/2,"00009610,00108539"
80,SEGURO EJE PALIER F-600,"00024264,00032626"
81,CUBRE VOLANTE GRIS,"00013723,00077839"
82,MAZA DELANTERA,"00202338,00202443,00204660"
83,ESPEJO PUERTA NEGRO RH TOYOTA HILUX,"00080279,00082166"
84,LOGO TOYOTA,"00008072,00078698"
85,PORTA CARBON ALTERNADOR 12V,"00025804,00097429"
86,EMP MOTOR,"00200812,00200815"
87,EMBRAGUE,"00202886,00204170,00204406"
88,LOCTITE 736 PRIMER NF,"00000671,00107015"
89,BOMBA BENC SUZUKI ST90 F8A,"00015542,00030294"
90,PORTA CARBON ARRANQ 12V,"00028568,00038081,00038350"
91,JGO EMPAQ,"00200057,00200540,00201102,00202887"
92,"MCA-26 ANTIESTATICA 1"" ROLLO 50 MTS","00099266,00112763"
93,OPTICO LH RENAULT SANDERO,"00057975,00074193"
94,BOMBA BENC MIT LANCER/EX MP772,"00015505,00030266"
95,BOMBA ACEITE NISSAN V16,"00030104,00087358"
96,TURBO,"00200580,00201389,00205072"
97,PERNO PARKER INOX MM 6 X 20,"00010438,00107002"
98,PERNO TRILEX MM 18x85 P2.0,"00022083,00022098"
99,PIOLA CUENTA KLM CHEV ASTRA,"00041414,00041434"
100,REGULADOR DE FRENO ISUZU,"00032168,00032169"
101,CAZOLETA MAZDA 3,"00087174,00203198"
102,"PERNO HEX INOX 304 1/2X3""","00072557,00111557"
103,TUERCA SEG PLAST 9/16 NC,"00011126,00102403"
104,HU 6009Z,"00043956,00078755"
105,PLACA DIODO TRANSPO,"00100675,00107385,00107809"
106,MANGUERA INF RADIADOR TY TERCEL EL53,"00048293,00048296"
107,TUERCA SEG PLAST 1/4 NC,"00011121,00106176"
108,CHICLER ELECT TW,"00030640,00030641"
109,VOLANTE DEPORTIVO ROJO,"00026042,00104499"
110,SOLDADORA DELTAPOWER 400E,"00053568,00054786"
111,BOMBA BENC FIAT DUNA TIPO 1.6 /93,"00015482,00030247"
112,CENTRIFUGO TOY HIACE 1RZ/2RZ,"00056747,00106479"
113,BLOQUEADOR SOLAR 1KG B V2 PREMIUN,"00039124,00102282"
114,SEGUN GUIA 6382,"00077008,00077016"
115,PARACHOQUE DELANTERO FUNDA CON MOLDURA TOYOTA HILU,"00083028,00085371"
116,CHICLER SURT ALTA 140,"00030659,00030660"
117,CILINDRO FRENO TRAS 11/16 HY RB,"00030715,00030716"
118,SOPORTE MOTOR RH SUZUKI ALTO 06-13,"00081793,00083259"
119,"PRENSA EMBRAGUE HYUNDAI 200"" DIAF MIT GALANT 184 D","00100088,00100361"
120,FILTRO ACEITE 2GR,"00112045,00113771"
121,MANGUERA CALEFA CHEV LUV 2.3CC,"00019823,00019824"
122,EMPAQ ESC TOY,"00029182,00029184"
123,ALTERNADOR 12V,"00038761,00051491,00080143,00087682"
124,BUJIA INCANDESCENTE,"00200464,00201906"
125,AUTOMATICO 24V KB CON PLATINO,"00026097,00026103"
126,TAPA VALVULA HS 4PZS,"00048952,00048953"
127,AMORT.KIA SPORTAGE,"00202248,00202302"
128,PERNO GALVANIZADO 5/8 X 2 1/2,"00065187,00203481"
129,MANILLA PUERTA EXT DEL RH HY H100 93-,"00076311,00076314"
130,"COMPAS EXTERIOR 10"" #2191","00011464,00107856"
131,CADENA DISTRIBUCION NIS V16,"00078119,00078120"
132,OPTICO LH AVEO,"00202787,00205070"
133,TAQUIES,"00203065,00203689"
134,JUEGO CADENA AR16 C/TENSOR,"00063386,00063387"
135,COLA ESC CROM 2X20 CM,"00016217,00016218"
136,LOGO MAZDA CROMO,"00008056,00058027"
137,BOMBA BENC DAEWOO RACER 1.5 SUMERGIBLE TW,"00015471,00030210"
138,TUBO AGUA,"00201259,00202355,00202356,00205299"
139,TUERCA SEG PLAST 7/8 NC,"00011129,00109536"
140,REJILLA PARACHOQUE DEL SZ SWIFT 05-,"00071967,00071968"
141,TAMBOR FRENO,"00085215,00201926,00202408"
142,ROD CUBETA K11300 76.2X14.2,"00033675,00033676"
143,KIT EMBR,"00203771,00204991"
