Codigo,Tipo error,Descripcion,I.Industrial,I.La Serena,I.Matriz,I.Bodega,Ult. fecha compra,Ult.fecha venta
00000088,Descripcion erronea,SELLO METALGRIP BLANCO N� 457001-459000           ,,,,,,
00000422,Descripcion erronea,ESCALA 2 PELDA�O 90 KG TOLSEN 62680               ,,,N,S,11/06/2021,25/06/2021
00000495,Descripcion erronea,SE�ALETICA PROHIBIDO EL INGRESO 1MM 45X30 CM      ,,N,N,S,09/06/2021,05/08/2021
00000552,Descripcion erronea,SE�ALETICA PROHIBIDO EL INGRESO 1MM 45X30CM       ,,,N,S,09/06/2021,10/06/2021
00000553,Descripcion erronea,SE�ALETICA P.E.E 1 MM  75X50 CM                   ,,,N,S,09/06/2021,10/06/2021
00000581,Descripcion erronea,PERNO TENSI�N 3/4 X  4 C/TUERCA Y GOLILLA         ,,,N,S,26/05/2021,26/05/2021
00000850,Descripcion erronea,BOMBA DE ENGRASE NEUM�TICA 60:1 WOLFLUBE          ,,,,,,
00000880,Descripcion erronea,CAJA PORTA CTA CTE MET�LICO 15CM2                 ,,,,,,
00000930,Descripcion erronea,BATER�A SMF31-750 100 AMP LUCAS                   ,,,N,,,05/06/2021
00001013,Descripcion erronea,"TAMIZ 8"" N�140 ACERO INOX                         ",,,,,,
00001014,Descripcion erronea,"TAMIZ 8"" N� 270 ACERO INOX                        ",,,,,,
00001254,Descripcion erronea,PALA PEQUE�A 46 CM                                ,,N,S,S,15/06/2021,15/06/2021
00001472,Descripcion erronea,SDFSD                                             ,,,,,,
00001487,Descripcion erronea,SOPORTE MOTOR POSTERIOR N�1 MIT MONTERO/PAJERO    ,,N,S,,08/09/2020,03/02/2021
00001493,Descripcion erronea,SELLANTE CA�ERIA RAPP IT 122  50MM X 3 6 MT       ,,,,,,
00001494,Descripcion erronea,SELLANTE CA�ERIA RAPP IT 124 100MM X 3.6 MT       ,,,,,,
00001496,Descripcion erronea,SELLANTE CA�ERIA  RAPP IT 164  100 X 4 8 MT       ,,,,,,
00001501,Descripcion erronea,SELLANTE CA�ERIA RAPP IT 304 100MMX 9.0 MT        ,,,,,,
00002196,Descripcion erronea,LAPIZ GRAFITO N�2 FULTONS                         ,,N,N,S,,17/03/2015
00002854,Descripcion erronea,GRASERA SAE 1/4 SEMI CURVA 45�                    ,S,S,N,S,25/08/2021,17/10/2022
00003016,Descripcion erronea,TIRA CA�ERIA A-53 GALV SCH 40 1/2                 ,,N,N,S,08/09/2016,06/08/2015
00003432,Descripcion erronea,PIEZOMETRO N�1 DEPOSITO DE RELAVE FILTRADO        ,,,,,,
00003438,Descripcion erronea,TERRAZA N� 1 COTA INICIAL 201 COTA FINAL 208      ,,,,,,
00003439,Letras y numeros,BF 606,,,,,,
00003441,Letras y numeros,BF 706,,,N,,,14/07/2014
00003443,Letras y numeros,BF 718,,,N,,,27/10/2011
00003444,Letras y numeros,BF 722,,,,,,
00003447,Letras y numeros,BF 920,,,,,,
00003448,Letras y numeros,BF 1014,,,,,,
00003449,Letras y numeros,BF 1018/1,,,,,,
00003450,Letras y numeros,BF 1021,,,,,,
00003451,Letras y numeros,BF 1121,,,,,,
00003452,Letras y numeros,BF 1121/1,,,,,,
00003453,Letras y numeros,BF 1131,,,,,,
00003454,Letras y numeros,BF 1231,,,,,,
00003455,Letras y numeros,BF 1472,,,,,,
00003456,Letras y numeros,BF 1771,,,,,,
00003457,Letras y numeros,BF 1774,,,,,,
00003458,Letras y numeros,BF 2259,,,,,,
00003459,Letras y numeros,BF 15109,,,,,,
00003460,Letras y numeros,BF 22127,,,,,,
00003461,Letras y numeros,BF 22127/10,,,,,,
00003462,Letras y numeros,BF 22137,,,,,,
00003463,Letras y numeros,BF 22148,,,,,,
00003464,Letras y numeros,BF 22164,,,,,,
00003465,Letras y numeros,C 31,,,,,,
00003466,Letras y numeros,C 31/1,,,,,,
00003467,Letras y numeros,C 32,,,,,,
00003468,Letras y numeros,C 33,,,,,,
00003469,Letras y numeros,C 34,,,,,,
00003470,Letras y numeros,C 35,,,,,,
00003471,Letras y numeros,C 37,,,,,,
00003472,Letras y numeros,C 41,,,,,,
00003473,Letras y numeros,C 41/3,,,,,,
00003474,Letras y numeros,C 42/1,,,,,,
00003475,Letras y numeros,C 42/2,,,,,,
00003476,Letras y numeros,C 43,,,,,,
00003477,Letras y numeros,C 44/2,,,N,,,24/07/2015
00003478,Letras y numeros,C 46,,,,,,
00003479,Letras y numeros,C 48,,,,,,
00003480,Letras y numeros,C 52,,,,,,
00003481,Letras y numeros,C 52/1,,,N,,,
00003482,Letras y numeros,C 53,,,,,,
00003483,Letras y numeros,C 54,,,,,,
