Descripcion,Duplicados,Stock Bodega,Inventario Bodega,Stock Matriz,Inventario Matriz,Stock La Serena,Inventario La Serena,Stock Industrial,Inventario Industrial,Ult. compra,Ult. venta
"FAROL TRASERO 10 LED C/BISEL REFLEC. BI-VOL 4"" RED","-00037780
-00072659
-00090982
","0
0
0
","S
S
S
","19
14
0
","S
S
S
","0
0
0
","N
","0
5
21
","N
S
S
","12/07/2021
24/05/2022
12/08/2022
","12/07/2021
24/04/2018
15/03/2021
"
LIJA FIERRO # 280,"-00006110
-00112648
","0
0
","S
S
","48
0
","S
","0
0
","N
","0
94
","N
S
","06/02/2023
29/11/2022
","29/09/2022
26/10/2022
"
WK 920/1,"-00005979
-00045173
","0
0
","S
S
","9
0
","N
S
","9
0
","S
N
","0
1
","S
N
","18/02/2023
28/10/2022
","26/12/2022
13/03/2021
"
PLACA DIODO,"-00001574
-00001577
","0
0
","S
","0
0
","S
S
","1
1
","N
N
","0
0
","N
S
","21/10/2022

","06/04/2021
06/04/2021
"
GOLILLA PLANA INOX 1/4,"-00011319
-00067646
","0
0
","S
S
","26
505
","N
N
","704
0
","S
N
","1135
0
","N
N
","17/02/2023
29/08/2022
","28/12/2022
20/04/2022
"
GOLILLA PRESION ZINC 3/8,"-00011406
-00102054
","0
0
","S
","2156
0
","N
N
","3049
0
","N
","2450
0
","N
N
","17/02/2023
03/01/2022
","11/08/2022
22/08/2011
"
ABRAZADERA MANG INOX 84-108 MM # 60,"-00012807
-00012808
","0
0
","S
S
","20
3
","S
S
","17
19
","N
N
","30
23
","N
N
","14/02/2023
14/02/2023
","13/02/2023
31/12/2021
"
FAROL LATERAL 10 LED BI-VOL 100 MM CORBATA STROBO,"-00056249
-00058035
","0
0
","S
S
","0
52
","S
S
","0
46
","N
N
","4
26
","N
S
","20/10/2022
15/02/2023
","15/03/2021
09/12/2022
"
CUBRE VOLANTE AZUL CUERINA,"-00059484
-00059485
","0
0
","S
S
","20
12
","N
N
","9
4
","S
N
","0
0
","N
N
","11/01/2022
13/01/2022
","18/03/2021
18/03/2021
"
ADAPTADOR POWER CHANGE BOSCH,"-00110764
-00111442
","0
0
","S
N
","0
0
","S
","0
0
","S
","8
3
","S
N
","
13/01/2023
","03/06/2022
03/06/2022
"
TERMINAL LUCAS C/F MACHO 3M AMBAR,"-00000354
-00000357
","0
0
","S
S
","2018
435
","S
S
","0
465
","S
S
","900
0
","N
S
","15/02/2023
07/02/2023
","17/02/2023
11/08/2021
"
CANDADO,"-00024926
-00024927
-00024930
-00024933
-00024934
-00024935
","0
0
0
0
0
0
","S
S
S
S
S
S
","1
3
0
0
84
0
","S
S
S
S
S
S
","0
0
0
0
10
0
","N
N
N
N
N
N
","0
0
0
0
1
0
","S
S
S
S
S
S
","12/09/2019
08/03/2022
12/12/2019
23/07/2019
12/04/2022
12/05/2021
","07/01/2017
16/06/2017
02/12/2019
06/04/2018
03/09/2018
03/09/2018
"
MALLA XS-2062,"-00096142
-00096143
","0
0
","S
S
","11
6
","N
N
","0
4
","N
N
","0
1
","N
N
","07/07/2022
05/07/2022
","18/04/2020
18/04/2020
"
TUERCA SEG PLAST 3/4 NF,"-00011143
-00104478
","0
0
","S
","195
0
","N
","2
0
","S
","108
0
","N
N
","31/01/2023
13/06/2022
","21/07/2022
13/06/2011
"
TERMINAL LUCAS C/F HEMBRA 3M AMBAR,"-00000355
-00000358
","0
0
","S
S
","928
2274
","S
S
","1
1077
","S
N
","319
342
","N
N
","16/02/2023
16/02/2023
","19/01/2022
17/02/2023
"
FOCO FAENA 14 LED RED 9-33V BLST CORTO HELLA ALC H,"-00094941
-00094943
","0
0
","S
S
","0
0
","S
S
","0
2
","N
N
","0
0
","N
N
","15/11/2021
14/07/2021
","27/12/2019
28/05/2020
"
CUBRE VOLANTE CAMION 16-18 NEGRO,"-00093897
-00093899
","0
0
",,"0
0
",,"1
1
","N
N
","0
2
","N
N
","09/12/2022
03/02/2023
","05/02/2022
03/11/2021
"
