,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
0,00200019,VALVULA DE ESCAPE                                                                                   ,,,,,,
1,00200021,OPTICO LH PEU PARTNER                                                                               ,,,,,,
2,00200025,CONI                                                                                                ,,,,,,
3,00200026,KIT MOTOR RENAUL                                                                                    ,,,,,,
4,00200027,PI�ON MOTOR DE PARTIDA 13 DTES                    ,,,,,,
5,00200028,JGO EMPA KIA BESTA                                                                                  ,,,,,,
6,00200029,METAL BEILA 0.50                                                                                    ,,,,,,
7,00200030,METAL BANCADA 0.25                                                                                  ,,,,,,
8,00200031,RADIADOR CHERY IQ 1.1                                                                               ,,,,,,
9,00200032,ARTICULO 901                                                                                        ,,,,,,
10,00200033,PRODUCTO 1                                                                                          ,,,,,,
11,00200034,PRODUCTO 2                                                                                          ,,,,,,
12,00200036,PRODUCTO 4                                                                                          ,,,,,,
13,00200037,PRODUCTO3                                                                                           ,,,,,,
14,00200038,ALTO DEL CARMEN 35                                                                                  ,,,,,,
15,00200039,ENEEE                                                                                               ,,,,,,
16,00200040,AAAAA                                                                                               ,,,,,,
17,00200041,PPP2                                                                                                ,,,,,,
18,00200042,AAAA2                                                                                               ,,,,,,
19,00200043,PROSERSSS                                                                                           ,,,,,,
20,00200044,JGO PISTON 0.50 CORSA 1.7                                                                           ,,,,,,
21,00200045,KIT EMB                                                                                             ,,,,,,
22,00200046,REPUESTOS SD22                                                                                      ,,,,,,
23,00200047,BARRA ESTABILIZADORA                                                                                ,,,,,,
24,00200048,321                                                                                                 ,,,,,,
25,00200049,321                                                                                                 ,,,,,,
26,00200050,321                                                                                                 ,,,,,,
27,00200051,32132                                                                                               ,,,,,,
28,00200052,332255                                                                                              ,,,,,,
29,00200053,SSDFF                                                                                               ,,,,,,
30,00200054,SDFDSFSD                                                                                            ,,,,,,
31,00200055,OPTICO RH PEU PARTNER                                                                               ,,,,,,
32,00200056,BIELA STD                                                                                           ,,,,,,
