Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
00000007,CAPOT DAHIATSU TERIOS.                            ,31/03/2014,15/05/2020,S,S,S,
00000014,FUSIBLE MUE                                       ,23/10/2012,26/11/2020,S,S,S,N
00000058,"PERFIL ESTRU. METALCOM ""C"" 2x4x0.85x6mts          ",,,,N,,
00000070,CABLE SOLD AWG 2/0  NEBERLING NEGRO               ,,,,N,N,
00000071, C 2735/4   SPEED MATE                            ,,,S,N,,
00000072,EQUIPO OXICORTE CUTTER HCW-23P                    ,,,S,N,N,
00000073,TUBO 40 MM PN06 X 6 MT                            ,,,S,N,N,
00000074,PASTO SINTETICO 20M  X 2 MTS ANCHO                ,,,S,N,N,
00000075,GALON ALTO TRAFICO COLOR GRIS                     ,06/05/2021,06/05/2021,S,N,,
00000078,"RODILLO CHIPORRO  8""                              ",06/05/2021,10/12/2021,S,N,,
00000079,EXTENSION ALUM  2 MT                              ,06/05/2021,06/05/2021,S,N,,
00000080,GALON BARNIZ NATURAL                              ,,,,N,N,
00000081,"TORNILLO MADERA 2""                                ",,,,N,,
00000082,FLANGE A-105 SLIP ANSI 150 RF 8                   ,,,,N,,
00000083,"VALV.MARIPOSA PN10 T/WAFER 4""                     ",,,,N,,
00000087,"VALV.MARIPOSA PN10 T/WAFER 3""                     ",,,,,,
00000088,SELLO METALGRIP BLANCO N° 457001-459000           ,,,,,,
00000089,LOGO LASER -LOGO SOMINOR                          ,,31/05/2022,,N,,
00000090,"TORNILLO LUQUE MECANICO 4"" BASE FIJA 8561010      ",19/11/2022,,,,N,
00000091,PTA CORONA   31MM CROSM                           ,,,,N,N,
00000092,PTA CORONA   41 M  CROSM                          ,,,,N,N,
00000133,LLAVE PTA CORONA 38MM CROS                        ,,,S,N,N,
00000186,LLAVE PTA CORONA 44 MM CROSS                      ,,,,N,,
00000187,DADO IMPAC LARGO 3/4  31M CROSS                   ,,,,N,N,
00000197,DADO IMPAC  LARGO 3/4  32MM CROSS                 ,,,,,,
00000199,DADO IMPAC LARGO 3/4  38 MM CROSS                 ,,,,,,
00000200,DADO IMPAC LARGO 3/4  41 MM CROSS                 ,25/04/2022,04/05/2022,S,N,,
00000201,PARCHE VIPAL R 302                                ,05/05/2021,05/05/2021,S,N,,
00000202,SOPLETE P/CORTAR 142 - F                          ,,,,,,
00000203,"ROLLO MANGUERA 1/4"" 30 MT GRAD T                  ",,,,,,
00000204,GEOTEXTIL NT23 100X4                              ,,,S,,,
00000205,JGO.DESTORN. IMPACTO 5 PIEZAS JONNESWAY 47093     ,31/01/2023,31/01/2023,S,N,,
00000206,JGO.DESTORN.IMPACTO 10 PZAS. JONNESWAY 32953      ,,,,,,
00000207,DRENES VERT.HDPE 1000MM CORRUGADO-PERF.           ,,,,,,
00000230,GRAVILLA M3                                       ,,,,N,N,
00000247,LLAVES CORONA VARIAS                              ,24/09/2015,11/02/2017,S,N,S,
00000277,GEOTEXTIL 200 GRS ROLLO 3.9X100 MTS               ,,,,,,
00000278,TERMOMETRO PARED C/ TRIPODE                       ,02/06/2022,20/06/2022,S,N,N,
00000279,TERMOMETRO PARED                                  ,,,,,,
00000280,TOTEM TERMOMETRO+ DISPENSADOR AUTO                ,,,,,,
00000283,SIERRA SABLE INAL. 18V DJR186RFE MAKITA           ,,,,,,
00000284,SIERRA SABLE 940W MT M4500KG MAKITA               ,,,,N,,
00000285,LLAVE PTA.CORONA 7/16 C/ CHICHARRA                ,11/05/2021,20/05/2021,S,N,,
