,Codigo,Tipo error,Descripcion,I.Industrial,I.La Serena,I.Matriz,I.Bodega,Ult. fecha compra,Ult.fecha venta
0,00003439,Letras y numeros,BF 606,,,,,,
1,00003441,Letras y numeros,BF 706,,,N,,,14/07/2014
2,00003443,Letras y numeros,BF 718,,,N,,,27/10/2011
3,00003444,Letras y numeros,BF 722,,,,,,
4,00003447,Letras y numeros,BF 920,,,,,,
5,00003448,Letras y numeros,BF 1014,,,,,,
6,00003449,Letras y numeros,BF 1018/1,,,,,,
7,00003450,Letras y numeros,BF 1021,,,,,,
8,00003451,Letras y numeros,BF 1121,,,,,,
9,00003452,Letras y numeros,BF 1121/1,,,,,,
10,00003453,Letras y numeros,BF 1131,,,,,,
11,00003454,Letras y numeros,BF 1231,,,,,,
12,00003455,Letras y numeros,BF 1472,,,,,,
13,00003456,Letras y numeros,BF 1771,,,,,,
14,00003457,Letras y numeros,BF 1774,,,,,,
15,00003458,Letras y numeros,BF 2259,,,,,,
16,00003459,Letras y numeros,BF 15109,,,,,,
17,00003460,Letras y numeros,BF 22127,,,,,,
18,00003461,Letras y numeros,BF 22127/10,,,,,,
19,00003462,Letras y numeros,BF 22137,,,,,,
20,00003463,Letras y numeros,BF 22148,,,,,,
21,00003464,Letras y numeros,BF 22164,,,,,,
22,00003465,Letras y numeros,C 31,,,,,,
23,00003466,Letras y numeros,C 31/1,,,,,,
24,00003467,Letras y numeros,C 32,,,,,,
25,00003468,Letras y numeros,C 33,,,,,,
26,00003469,Letras y numeros,C 34,,,,,,
27,00003470,Letras y numeros,C 35,,,,,,
28,00003471,Letras y numeros,C 37,,,,,,
29,00003472,Letras y numeros,C 41,,,,,,
30,00003473,Letras y numeros,C 41/3,,,,,,
31,00003474,Letras y numeros,C 42/1,,,,,,
32,00003475,Letras y numeros,C 42/2,,,,,,
33,00003476,Letras y numeros,C 43,,,,,,
34,00003477,Letras y numeros,C 44/2,,,N,,,24/07/2015
35,00003478,Letras y numeros,C 46,,,,,,
36,00003479,Letras y numeros,C 48,,,,,,
37,00003480,Letras y numeros,C 52,,,,,,
38,00003481,Letras y numeros,C 52/1,,,N,,,
39,00003482,Letras y numeros,C 53,,,,,,
40,00003483,Letras y numeros,C 54,,,,,,
41,00003484,Letras y numeros,C 55,,,,,,
42,00003485,Letras y numeros,C 63,,,,,,
43,00003486,Letras y numeros,C 64/1,,,,,,
44,00003487,Letras y numeros,C 65/10,,,N,,,22/03/2016
45,00003488,Letras y numeros,C 66,,,,,,
46,00003489,Letras y numeros,C 66/1,,,,,,
47,00003490,Letras y numeros,C 69/1,,,N,,,27/11/2014
48,00003491,Letras y numeros,C 72,,,,,,
49,00003492,Letras y numeros,C 72/1,,,,,,
50,00003493,Letras y numeros,C 73,,,,,,
51,00003494,Letras y numeros,C 74,,,,,,
52,00003495,Letras y numeros,C 75,,,,,,
53,00003497,Letras y numeros,C 75/3,,,,,,
54,00003498,Letras y numeros,C 76/1,,,,,,
55,00003499,Letras y numeros,C 76/10,,,,,,
56,00003500,Letras y numeros,C 76/15,,,N,,,29/03/2012
57,00003501,Letras y numeros,C 76/20,,,,,,
58,00003502,Letras y numeros,C 76/30,,,,,,
59,00003503,Letras y numeros,C 77,,,,,,
60,00003504,Letras y numeros,C 77/2,,,,,,
61,00003505,Letras y numeros,C 78,,,,,,
62,00003506,Letras y numeros,C 78/10,,,,,,
63,00003507,Letras y numeros,C 79/1,,,,,,
64,00003508,Letras y numeros,C 87,,,,,,
65,00003509,Letras y numeros,C 93,,,,,,
66,00003510,Letras y numeros,C 96,,,,,,
67,00003511,Letras y numeros,C 97,,,,,,
68,00003512,Letras y numeros,C 114,,,,,,
69,00003513,Letras y numeros,C 116,,,,,,
70,00003514,Letras y numeros,C 117,,,,,,
71,00003515,Letras y numeros,C 119,,,N,,,24/02/2022
72,00003516,Letras y numeros,C 124,,,,,,
73,00003517,Letras y numeros,C 131,,,,,,
74,00003518,Letras y numeros,C 149,,,,,,
75,00003519,Letras y numeros,C 402,,,,,,
76,00003520,Letras y numeros,C 408,,,,,,
77,00003521,Letras y numeros,C 411,,,,,,
78,00003522,Letras y numeros,C 502,,,,,,
79,00003523,Letras y numeros,C 503,,,,,,
80,00003524,Letras y numeros,C 505,,,,,,
81,00003525,Letras y numeros,C 602,,,,,,
82,00003526,Letras y numeros,C 603,,,,,,
83,00003527,Letras y numeros,C 609,,,,,,
84,00003528,Letras y numeros,C 610/2,,,,,,
85,00003529,Letras y numeros,C 642,,,,,,
86,00003530,Letras y numeros,C 704,,,,,,
87,00003532,Letras y numeros,C 711,,,,,,
88,00003533,Letras y numeros,C 711/1,,,,,,
89,00003534,Letras y numeros,C 712/10,,,,,,
90,00003535,Letras y numeros,C 713,,,,,,
91,00003536,Letras y numeros,C 713/10,,,,,,
92,00003537,Letras y numeros,C 718,,,N,,,31/08/2017
