,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
0,00002883,VELLUMOIDE 1/64 0.397 MM                          ,11/10/2022,06/02/2023,S,N,S,N
1,00002884,VELLUMOIDE 1/32 0.794 MM                          ,26/01/2023,06/02/2023,S,N,N,N
2,00002885,VELLUMOIDE 1/16 1.588 MM                          ,26/01/2023,03/02/2023,S,S,N,N
3,00002886,VELLUMOIDE 3/32 2.381 MM                          ,10/08/2022,07/02/2023,S,N,N,N
4,00002887,VELLUMOIDE 1/8 3.175 MM                           ,01/02/2023,06/02/2023,S,N,N,N
5,00002888,TEMASIL AZUL CON METAL 1/32 (4.15 KG PLANCHA)     ,14/08/2020,02/03/2022,,N,N,
6,00002889,TEMASIL AZUL CON METAL 1/16 8 KGS XPL             ,28/04/2022,26/01/2023,S,N,N,N
7,00002890,TEMASIL AZUL CON METAL 3/32 13.1 KGS X PL         ,28/04/2022,12/01/2023,S,N,N,N
8,00002891,TEMASIL AZUL CON METAL 1/8 15.6 KGS X PL          ,23/01/2023,23/11/2022,S,N,S,
9,00002892,TEMASIL AZUL SIN METAL 1/16 6.7 KLS X PL          ,20/04/2021,26/01/2023,S,N,N,
10,00002893,TEMASIL AZUL SIN METAL 1/32 3.5 KLS X PL          ,24/12/2021,06/12/2022,S,N,S,
11,00002894,TEMASIL AZUL SIN METAL 1/8 11.9 KLS X PL          ,09/07/2016,21/10/2022,,N,N,
12,00002895,TEMASIL AZUL SIN METAL 3/32 9.9 KLS X PL          ,09/10/2019,08/11/2019,,N,N,
13,00015010,JUEGO EMPAQUETADURA MOTOR HONDA                   ,11/03/2021,11/03/2021,,S,N,
14,00019102,EMPAQ CULATA IZQ GRAFITO HYU COUPE 2.7 02/07 TW   ,28/08/2013,31/08/2013,,,S,
15,00019103,EMPAQ CULATA DER GRAFITO HYU COUPE 2.7 02/07      ,28/08/2013,31/08/2013,,,S,
16,00019121,EMP MULT ADM TOY HILUX KUN 2KDFTV 2006/08         ,10/01/2014,13/01/2022,,N,N,
17,00019123,EMPAQ TAPA VALV NIS TERRANO D22 NAVARA            ,02/07/2014,11/12/2021,,N,,
18,00019132,EMPAQ MULT ADM NIS TERRANO D22 YD25               ,30/08/2013,22/08/2017,,N,,
19,00024716,ASBESTO TRENS CORDON ENGRASADO 1/2                                                                  ,,05/04/2019,,N,N,
20,00024717,ASBESTO TRENS CORDON ENGRASADO 1/4                                                                  ,,30/12/2014,,N,,
21,00024718,ASBESTO TRENS CORDON ENGRASADO 3/8 12MT                                                             ,,03/01/2019,,N,N,
22,00024719,CORDON GRAFIT 1/4 (12XKG) ASBESTO                 ,26/11/2020,27/11/2020,,N,N,
23,00024720,ASBESTO CORDON GRAFIT 5/16 (9XKG)                 ,01/03/2018,25/08/2017,,N,N,
24,00024721,ASBESTO CORDON GRAFIT 3/8 POR KG (6XKG)           ,05/12/2022,07/01/2023,S,N,N,
25,00024722,ASBESTO CORDON GRAFIT 1/2 (3.5XKG)                ,05/12/2022,24/01/2023,S,N,N,
26,00024723,ASBESTO CORDON GRAFIT 5/8 MT (2.5XKG)             ,01/10/2013,25/06/2016,,N,,
27,00024724,ASBESTO CORDON GRAFIT 3/4 MT (1.5XKG)             ,23/06/2012,25/11/2015,,N,,
28,00024725,ASBESTO CORDON GRAFIT 7/8 MT (1.3XKG)             ,,04/03/2016,,N,,
29,00024975,CORCHOPREN 3/16 4.76MM PLANCHA                    ,15/06/2017,24/11/2020,,N,N,
30,00024976,"CORCHOPREN 1/4"" 6.35MM PLANCHA 1000X500MM         ",24/09/2018,09/02/2021,,N,,
31,00024977,CORCHOPREN 1/32 0.7MM PLANCHA                     ,27/02/2015,04/03/2021,,N,,
32,00024978,CORCHOPREN 1/16 1.5MM PLANCHA 1000X500MM          ,24/09/2018,18/03/2021,,N,N,N
33,00024979,CORCHOPREN 5/64 2MM PLANCHA 1000X500MM            ,,13/01/2020,,N,,
34,00024980,CORCHOPREN 3/32 2.5MM PLANCHA                     ,18/07/2019,07/01/2022,,N,N,N
35,00024981,CORCHOPREN 1/8 3MM PLANCHA 100X500MM              ,13/05/2020,13/10/2020,,N,N,
36,00024982,CORCHOPREN 5/32 4MM PLANCHA                       ,13/05/2020,03/01/2022,,N,,
37,00028178,KIT EMPAQ CULATA/TAPA VALV/ADM/RETEN VAL TOY LANCR                                                  ,,11/11/2015,,N,,
38,00028897,EMPAQ CARTER DAIH CHARADE /ASIA TOWNER            ,14/09/2016,21/10/2022,,N,,
39,00028898,EMPAQ CARTER FIAT 125                             ,27/03/2014,04/04/2014,,N,N,
40,00028900,EMPAQ CARTER FIAT FIORI 1.5 93/96                 ,26/10/2012,22/01/2020,,N,N,
41,00028901,EMPAQ CARTER FIAT PALIO 1.3                                                                         ,,,,,,
42,00028902,EMPAQ CARTER KIA BESTA 2.5 KOREA                                                                    ,,,,,,
43,00028904,EMPAQ CARTER KIA K 2.400                          ,27/09/2018,15/06/2020,,N,,
44,00028907,EMPAQ CARTER MAZDA B2200 JP                                                                         ,,,,,,
45,00028908,EMPAQ CARTER NISSAN CD17 GOMA TW                  ,13/12/2011,26/09/2022,,N,,
46,00028910,EMPAQ CARTER NISSAN J13/15/16/18 CP2-401 TW       ,09/01/2014,28/12/2022,,N,,
47,00028914,EMPAQ CARTER SUZUKI ST90/LJ80/SJ410/SK410 78-85 CP2-2902 TW                                         ,05/01/2017,07/04/2014,,N,,
48,00028916,EMPAQ CARTER HONDA CIVIC B16A 92/93               ,23/08/2013,,,,N,
49,00028919,EMPAQ CARTER TOY DYNA TW                                                                            ,,,,,,
50,00028920,EMPAQ CULATA CHEV CHEVETTE BRASIL                                                                   ,,19/11/2021,,N,,
51,00028921,EMPAQ CULATA CHEV CHEVETTE BRASIL                                                                   ,,01/03/2016,,N,,
52,00028923,EMP CULATA CHEV LUV 2.2 98-00/ S10 2.2 DAE ESP 2.0,18/01/2023,22/03/2021,,N,N,
53,00028926,EMPAQ CULATA DAEWOO RACER/LANOS 1.3-1.5           ,07/08/2018,24/09/2018,,N,,
54,00028931,EMP CULATA PEUG 504/505 2.0                       ,09/04/2015,29/01/2018,,N,N,
55,00028932,EMPAQ CULATA DAIH CUORE/MAX.CUORE 550 / S60       ,29/10/2020,29/10/2020,,N,S,
56,00028934,EMPAQ CULATA FIAT 125 1.7 MM                                                                        ,21/03/2018,05/02/2019,,N,N,
57,00028935,EMPAQ CULATA FIAT 125 CCAM-908 1.2MMESPESOR                                                         ,27/05/2011,18/06/2015,,N,,
58,00028936,EMPAQ CULATA FIAT 132 ITALIA                                                                        ,27/05/2011,26/12/2013,,N,,
59,00028937,EMPAQ CULATA FIAT 147 1050/1300/UNO ARGENTINA     ,23/08/2018,11/10/2018,,N,N,
60,00028938,EMPAQ CULATA FIAT 600 0.3MM ITALIA                                                                  ,12/11/2018,22/03/2014,,N,,
61,00028939,EMPAQ CULATA FIAT 600 0.6MM ITALIA                                                                  ,27/05/2011,22/07/2015,,N,,
62,00028940,EMPAQ CULATA FIAT 600-ZAST 750CC TARANTO ITALIA                                                     ,03/08/2016,07/08/2017,,N,,
63,00028943,EMPAQ CULATA FIAT FIORI 1.5 CATAL                                                                   ,,05/06/2014,,N,,
64,00028945,EMPAQ CULATA FIAT FIORI 1.7 1.80 MM DIESEL        ,02/12/2011,06/07/2016,,N,,
65,00028946,EMPAQ CULATA FIAT FIORI 1.7 2.10 MM DIESEL BRASI                                                    ,27/05/2011,01/08/2015,,N,,
66,00028947,EMPAQ CULATA FIAT FIORI 1300 89/92-UNO/PALIO/SIENA,08/09/2015,08/09/2015,,N,N,
67,00028948,EMPAQ CULATA FIAT PALIO 1.3                       ,10/10/2012,07/10/2011,,N,,
68,00028949,EMPAQ CULATA FIAT STRADA 1.9 DIESEL TD                                                              ,27/05/2011,20/04/2016,,N,,
