,Codigo,Descripcion,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
0,00000056,WK 48/3                                           ,22/08/2022,13/01/2023,S,N,N,S
1,00000057,C 21104 FILTEC                                    ,01/07/2020,05/08/2022,,N,,
2,00000239,FILTRO BENC W31/2 CHICO                           ,19/01/2022,15/12/2022,S,N,S,N
3,00000240,FILTRO BENC UNIV. GF61                            ,16/06/2021,03/02/2023,S,N,S,
4,00000241,WK 66 NS V16 93/97                                ,28/09/2020,26/05/2021,S,N,N,S
5,00000242,WK 66 D21 DEUSIC                                  ,09/10/2018,16/08/2022,S,N,S,S
6,00000652,FILTRO AIRE MAXXUS T60                            ,24/01/2022,21/11/2022,,S,N,
7,00000704,FILTRO ACEITE MAXXUS T60                          ,24/01/2022,28/10/2022,,N,N,
8,00000744,C 2408                                            ,29/09/2022,02/02/2023,,N,N,
9,00001089,FILTRO BENCINA MINI UNIV                          ,29/01/2018,03/09/2021,S,N,N,
10,00001498,FILTRO UNIVERSAL PLATICO TRANSP 5/16 KENDAL       ,14/05/2020,13/03/2021,,N,S,N
11,00001657,C 17006  MECA FILTER                              ,12/06/2020,15/09/2021,,S,N,
12,00001777,C 36007                                           ,01/02/2023,05/12/2022,,S,N,
13,00001778,FILTRO AIRE KIA MORNING 1.2  2017 / 2020          ,13/06/2020,23/05/2022,,S,N,
14,00001868,FILTRO POLEN VOLVO XC60 S80 (07-)                 ,23/12/2016,27/03/2012,S,N,N,
15,00001910,C 2454 STP                                        ,16/06/2020,24/06/2020,,S,N,
16,00001932,FILTRO ACEITE MITSUBISHI MONTERO 00               ,06/06/2020,18/06/2020,,S,N,
17,00002176,C 3585  SAT                                       ,09/06/2021,10/07/2021,,S,N,
18,00002321,W 610/80 SAT                                      ,02/07/2021,16/01/2023,S,S,N,
19,00002330,WK 66 SAT                                         ,10/09/2021,14/10/2022,S,S,N,
20,00002332,WK 850/1  SAT                                     ,09/06/2021,21/01/2022,,S,N,
21,00002335,W 610/82  SAT                                     ,15/07/2021,04/11/2021,,S,N,
22,00002338,WK 56  STP                                        ,19/05/2021,01/10/2022,,S,N,
23,00002339,W 67/80 WEGA JFO-0313                             ,06/06/2022,14/09/2022,S,S,N,
24,00002340,C 17205  SAT                                      ,09/06/2021,01/04/2022,,S,N,
25,00002341,W 68/80  SAT                                      ,15/07/2021,05/05/2022,,S,N,
26,00002342,C 22024 SAT                                       ,15/07/2021,24/12/2021,,S,N,
27,00002343,W 712/22 SAT                                      ,15/07/2021,18/04/2022,,S,N,
28,00002344,W 712/52 SAT                                      ,09/06/2021,12/09/2022,,S,N,
29,00002345,W 712/8 SAT                                       ,09/06/2021,03/11/2021,,S,N,
30,00002347,W 719/27  SAT                                     ,09/06/2021,03/05/2022,,S,N,
31,00002348,W 713/34  SAT                                     ,09/06/2021,10/05/2022,,S,N,
32,00002349,W 816  SAT                                        ,09/06/2021,05/07/2021,,S,N,
33,00002350,W 818/8  SAT                                      ,15/07/2021,31/07/2021,,S,N,
34,00002351,W 920/48  SAT                                     ,09/06/2021,06/12/2022,,S,N,
35,00002352,W 924/5  SAT                                      ,09/06/2021,29/08/2022,,S,N,
36,00002353,C 22144  SAT                                      ,09/06/2021,10/07/2021,,S,N,
37,00002354,C 23107 SAT                                       ,15/07/2021,30/09/2021,,S,N,
38,00002355,C 2340  SAT                                       ,09/06/2021,21/07/2021,,S,N,
39,00002356,C 24011  SAT                                      ,09/06/2021,06/07/2021,,S,N,
40,00002357,C 25125  SAT                                      ,09/06/2021,19/01/2022,,S,N,
41,00002358,W 927/8  SAT  ( W930/26 )                         ,02/02/2022,01/09/2022,S,S,N,
42,00002359,WP 928/81  SAT                                    ,09/06/2021,14/09/2021,,S,N,
43,00002360,HU 711/51X  SAT                                   ,09/06/2021,21/10/2021,,S,N,
44,00002361,HU 716/ 2X  SAT                                   ,09/06/2021,06/12/2021,,S,N,
45,00002362,H 819/ 1X SAT                                     ,15/07/2021,05/09/2022,,S,N,
46,00002370,PF 1050/ 1X SAT                                   ,09/06/2021,21/12/2022,,S,N,
47,00002373,C 15135  SAT                                      ,15/07/2021,02/04/2022,,S,N,
48,00002374,C 16006 SAT                                       ,15/07/2021,18/10/2022,,S,N,
49,00002375,C 2775  SAT                                       ,09/06/2021,28/05/2022,,S,N,
50,00002377,C 2964  SAT                                       ,09/06/2021,21/07/2021,,S,N,
51,00002378,C 3350 SAT                                        ,09/06/2021,18/11/2022,,S,N,N
52,00002379,W 924/10  SAT                                     ,09/06/2021,14/11/2022,,S,N,
53,00002382,W 68/3 SAT                                        ,02/07/2021,26/05/2022,,S,N,
54,00002383,W 712/19  SAT                                     ,02/07/2021,16/10/2021,,S,N,
55,00002384,W 712/81 SAT                                      ,15/07/2021,07/01/2022,,S,N,
56,00002385,W 75/2 SAT                                        ,02/07/2021,04/01/2023,,S,N,
57,00002386,W 920/21  SAT                                     ,02/07/2021,14/01/2022,,S,N,
58,00002387,HU 7001X    SAT                                   ,02/07/2021,23/08/2022,,S,N,
59,00002398,C 1802 SAT                                        ,02/07/2021,14/08/2021,S,S,N,N
60,00002406,C 3121  SAT                                       ,02/07/2021,21/07/2021,,S,N,
61,00002408,CU 22007 SAT                                      ,02/07/2021,,,S,N,
62,00002409,CU- 22001/2  SAT                                  ,02/07/2021,03/12/2013,,S,N,
63,00002410,WK 714/1  SAT                                     ,02/07/2021,06/11/2021,,S,N,
64,00002411,WK- 829/3 SAT                                     ,15/07/2021,28/01/2023,,S,N,
65,00002413,C 2418  SAT                                       ,02/07/2021,28/04/2022,,S,N,
66,00002415,W 6002  SAT                                       ,15/07/2021,04/01/2023,S,S,N,
67,00002419,W 7023  SAT                                       ,15/07/2021,12/01/2022,S,S,N,
68,00002420,W 713/1  SAT                                      ,15/07/2021,30/08/2021,S,S,N,
69,00002421,W 830/3  SAT                                      ,15/07/2021,01/06/2022,S,S,N,
70,00002422,C 2546/1  SAT   C2419                             ,15/07/2021,30/10/2021,,S,N,
71,00002423,C 2663  SAT                                       ,15/07/2021,10/06/2022,,S,N,
72,00002424,WK 10034 Z                                        ,26/01/2023,10/01/2023,S,S,N,
73,00002426,PU 835 X  SAT                                     ,15/07/2021,25/10/2022,,S,N,
74,00002427,PU 9009Z SAT                                      ,10/09/2021,26/04/2022,,S,N,
75,00002428,PU 915 X   SAT                                    ,10/09/2021,15/06/2022,,S,N,
76,00002429,WK 66/5     SAT                                   ,15/07/2021,06/12/2021,S,S,N,
77,00002430,WK 710/1 SAT                                      ,21/08/2021,20/01/2023,S,S,N,
78,00002431,WK 829   SAT                                      ,15/07/2021,27/10/2021,S,S,N,
79,00002432,WK 842/ 2    SAT                                  ,15/07/2021,10/08/2022,S,S,N,
80,00002437,FILTRO POLEN MIT L200 16/18/LANC 07/13/OUTL CU2141,29/12/2021,07/01/2023,S,S,N,
81,00002438,PU 1018X STP                                      ,28/07/2021,17/05/2022,S,S,N,
82,00002686,FILTRO ACEITE FIAT FIORINO CITY 1.3D/BIPPER 1.3D  ,13/01/2017,30/06/2014,,N,N,
83,00002687,FILTRO POLEN FIAT FIORINO CITY/BIPPER/NEMO        ,13/01/2017,21/10/2011,,N,N,
84,00002721,W 67/88 MANN                                      ,26/12/2022,08/02/2023,,S,S,
85,00002725,W 930/26 MANN = (W 927/8)                         ,27/01/2023,07/02/2023,S,S,S,
86,00002740,HU 6013Z MANN                                     ,29/07/2022,06/02/2023,,S,N,
87,00002785,C 2030 KENDAL                                     ,11/12/2021,06/02/2023,,S,S,
88,00002827,P 926/8X STP                                      ,21/06/2019,20/05/2020,,N,,
89,00002901,W 8017   LONG LIFE                                ,11/11/2021,22/12/2015,S,S,N,
90,00002905,FILTRO AIRE  HUNDAI H100 93/0                     ,30/01/2020,01/02/2020,,S,S,S
91,00002915,FILTRO AIRE 56040821 BALDWIN                      ,01/09/2016,03/09/2016,,S,,
92,00003041,C 28100 MANN                                      ,25/03/2021,15/12/2021,,S,N,
93,00003060,FILTRO AIRE VW GOLF A4 1.6/1.8/2.0                ,26/06/2019,10/07/2019,,N,,
94,00003152,CEBADOR SOLO ARANA HYUN H-1/PORTER/GALLOPER       ,03/06/2016,13/01/2017,,N,N,
95,00003181,FILTRO RACOR RK25 C/VASO RAMA                     ,09/02/2017,10/01/2014,,N,N,
96,00003182,HU 816X INTERPARTS                                ,09/02/2017,30/11/2020,,N,N,
97,00003189,C 2184 MANN                                       ,18/01/2023,14/11/2022,,N,N,
98,00003190,C 21015                                           ,22/03/2022,27/01/2023,,N,N,
99,00003208,C 25125 STP                                       ,10/06/2021,13/01/2022,,N,N,
100,00003312,C 1858/4 MANN                                     ,02/09/2022,30/01/2023,,S,N,
101,00003325,C 24010 MANN EX2418                               ,14/10/2022,20/01/2023,,S,N,N
102,00003342,FILTRO CABINA NISSAN D21                          ,07/08/2021,22/10/2021,,N,S,
103,00003343,FILTRO BENCINA TOY HILUX 06/                      ,03/03/2020,18/01/2022,,N,S,
104,00003360,C- 23107 PENRIUS                                  ,23/02/2017,24/04/2018,,N,N,
105,00003383,C 2504/1                                          ,22/03/2022,25/10/2012,,N,N,
106,00003437,C 28015 MANN                                      ,26/05/2022,21/10/2022,S,S,N,S
107,00003439,BF 606                                                                                              ,,,,,,
108,00003440,PU 723X REEMPLAZA A BF 702x MANN                  ,01/12/2022,07/02/2023,,N,S,
109,00003441,BF 706                                                                                              ,,14/07/2014,,N,,
110,00003442,BFU 707x                                          ,09/12/2021,07/11/2022,S,N,N,S
111,00003443,BF 718                                                                                              ,,27/10/2011,,N,,
112,00003444,BF 722                                                                                              ,,,,,,
113,00003445,BFU 811x                                          ,25/01/2021,28/01/2021,S,N,N,
114,00003446,BF 811/1x                                                                                           ,19/06/2013,30/05/2013,,N,,
115,00003447,BF 920                                                                                              ,,,,,,
116,00003448,BF 1014                                                                                             ,,,,,,
117,00003449,BF 1018/1                                                                                           ,,,,,,
118,00003450,BF 1021                                                                                             ,,,,,,
119,00003451,BF 1121                                                                                             ,,,,,,
120,00003452,BF 1121/1                                                                                           ,,,,,,
121,00003453,BF 1131                                                                                             ,,,,,,
122,00003454,BF 1231                                                                                             ,,,,,,
123,00003455,BF 1472                                                                                             ,,,,,,
124,00003456,BF 1771                                                                                             ,,,,,,
125,00003457,BF 1774                                                                                             ,,,,,,
126,00003458,BF 2259                                                                                             ,,,,,,
127,00003459,BF 15109                                                                                            ,,,,,,
128,00003460,BF 22127                                                                                            ,,,,,,
129,00003461,BF 22127/10                                                                                         ,,,,,,
130,00003462,BF 22137                                                                                            ,,,,,,
131,00003463,BF 22148                                                                                            ,,,,,,
132,00003464,BF 22164                                                                                            ,,,,,,
133,00003465,C 31                                                                                                ,,,,,,
134,00003466,C 31/1                                                                                              ,,,,,,
135,00003467,C 32                                                                                                ,,,,,,
136,00003468,C 33                                                                                                ,,,,,,
137,00003469,C 34                                                                                                ,,,,,,
138,00003470,C 35                                                                                                ,,,,,,
139,00003471,C 37                                                                                                ,,,,,,
140,00003472,C 41                                                                                                ,,,,,,
141,00003473,C 41/3                                                                                              ,,,,,,
142,00003474,C 42/1                                                                                              ,,,,,,
143,00003475,C 42/2                                                                                              ,,,,,,
144,00003476,C 43                                                                                                ,,,,,,
145,00003477,C 44/2                                                                                              ,,24/07/2015,,N,,
146,00003478,C 46                                                                                                ,,,,,,
147,00003479,C 48                                                                                                ,,,,,,
148,00003480,C 52                                                                                                ,,,,,,
149,00003481,C 52/1                                                                                              ,,,,N,,
150,00003482,C 53                                                                                                ,,,,,,
151,00003483,C 54                                                                                                ,,,,,,
152,00003484,C 55                                                                                                ,,,,,,
153,00003485,C 63                                                                                                ,,,,,,
154,00003486,C 64/1                                                                                              ,,,,,,
155,00003487,C 65/10                                                                                             ,,22/03/2016,,N,,
156,00003488,C 66                                                                                                ,,,,,,
157,00003489,C 66/1                                                                                              ,,,,,,
158,00003490,C 69/1                                                                                              ,,27/11/2014,,N,,
159,00003491,C 72                                                                                                ,,,,,,
160,00003492,C 72/1                                                                                              ,,,,,,
161,00003493,C 73                                                                                                ,,,,,,
162,00003494,C 74                                                                                                ,,,,,,
163,00003495,C 75                                                                                                ,,,,,,
164,00003496,C 75/2                                            ,11/09/2014,01/09/2022,S,N,N,
165,00003497,C 75/3                                                                                              ,,,,,,
166,00003498,C 76/1                                                                                              ,,,,,,
167,00003499,C 76/10                                                                                             ,,,,,,
168,00003500,C 76/15                                                                                             ,,29/03/2012,,N,,
169,00003501,C 76/20                                                                                             ,,,,,,
170,00003502,C 76/30                                                                                             ,,,,,,
171,00003503,C 77                                                                                                ,,,,,,
172,00003504,C 77/2                                                                                              ,,,,,,
173,00003505,C 78                                                                                                ,,,,,,
174,00003506,C 78/10                                                                                             ,,,,,,
175,00003507,C 79/1                                                                                              ,,,,,,
176,00003508,C 87                                                                                                ,,,,,,
177,00003509,C 93                                                                                                ,,,,,,
178,00003510,C 96                                                                                                ,,,,,,
179,00003511,C 97                                                                                                ,,,,,,
180,00003512,C 114                                                                                               ,,,,,,
181,00003513,C 116                                             ,,,,,,
182,00003514,C 117                                                                                               ,,,,,,
183,00003515,C 119                                                                                               ,,24/02/2022,,N,,
184,00003516,C 124                                                                                               ,,,,,,
185,00003517,C 131                                                                                               ,,,,,,
186,00003518,C 149                                                                                               ,,,,,,
187,00003519,C 402                                                                                               ,,,,,,
