,Codigo,Descripcion,Grupo,Fecha Compra,Fecha Venta,Inv Bodega,Inv Matriz,Inv Serena,Inv Industrial
0,00000058,"PERFIL ESTRU. METALCOM ""C"" 2x4x0.85x6mts          ",ROTACION ,,,,N,,
1,00000070,CABLE SOLD AWG 2/0  NEBERLING NEGRO               ,ROTACION ,,,,N,N,
2,00000080,GALON BARNIZ NATURAL                              ,ROTACION ,,,,N,N,
3,00000081,"TORNILLO MADERA 2""                                ",ROTACION ,,,,N,,
4,00000082,FLANGE A-105 SLIP ANSI 150 RF 8                   ,ROTACION ,,,,N,,
5,00000083,"VALV.MARIPOSA PN10 T/WAFER 4""                     ",ROTACION ,,,,N,,
6,00000087,"VALV.MARIPOSA PN10 T/WAFER 3""                     ",ROTACION ,,,,,,
7,00000088,SELLO METALGRIP BLANCO N� 457001-459000           ,ROTACION ,,,,,,
8,00000091,PTA CORONA   31MM CROSM                           ,ROTACION ,,,,N,N,
9,00000092,PTA CORONA   41 M  CROSM                          ,ROTACION ,,,,N,N,
10,00000186,LLAVE PTA CORONA 44 MM CROSS                      ,ROTACION ,,,,N,,
11,00000187,DADO IMPAC LARGO 3/4  31M CROSS                   ,ROTACION ,,,,N,N,
12,00000197,DADO IMPAC  LARGO 3/4  32MM CROSS                 ,ROTACION ,,,,,,
13,00000199,DADO IMPAC LARGO 3/4  38 MM CROSS                 ,ROTACION ,,,,,,
14,00000202,SOPLETE P/CORTAR 142 - F                          ,ROTACION ,,,,,,
15,00000203,"ROLLO MANGUERA 1/4"" 30 MT GRAD T                  ",ROTACION ,,,,,,
16,00000206,JGO.DESTORN.IMPACTO 10 PZAS. JONNESWAY 32953      ,ROTACION ,,,,,,
17,00000207,DRENES VERT.HDPE 1000MM CORRUGADO-PERF.           ,ROTACION ,,,,,,
18,00000230,GRAVILLA M3                                       ,ROTACION ,,,,N,N,
19,00000277,GEOTEXTIL 200 GRS ROLLO 3.9X100 MTS               ,ROTACION ,,,,,,
20,00000279,TERMOMETRO PARED                                  ,ROTACION ,,,,,,
21,00000280,TOTEM TERMOMETRO+ DISPENSADOR AUTO                ,ROTACION ,,,,,,
22,00000283,SIERRA SABLE INAL. 18V DJR186RFE MAKITA           ,ROTACION ,,,,,,
23,00000284,SIERRA SABLE 940W MT M4500KG MAKITA               ,ROTACION ,,,,N,,
24,00000401,JGO DADOS ALLEN LARGOS 5-12MM                     ,ROTACION ,,,,,,
25,00000402,"INFLADOR DOBLE 15"" S-506                          ",ROTACION ,,,,,,
26,00000406,RODA. 6001 ZZ C3 ROLLWAY                          ,ROTACION ,,,,,,
27,00000407,RODA U C 211 G-55 KOYO                            ,ROTACION ,,,,,,
28,00000409,RODA UC 206 ROLLWAY C -76                         ,ROTACION ,,,,,,
29,00000410,RODA UC 206 KOYO D-112                            ,ROTACION ,,,,,,
30,00000421,RODA. UC 206 KML F-52                             ,ROTACION ,,,,,,
31,00000435,PEDESTAL 63 CM CERAMICA CORONA                    ,ROTACION ,,,,,,
32,00000440,LLAVE IMPACTO 3/8 DTW180RFE MAKITA                ,ROTACION ,,,,,,
33,00000441,LLAVE IMPACTO 1/2 DTW190RFE MAKITA                ,ROTACION ,,,,,,
34,00000442,DISCO DURO SSD 240GB SATA3 2.5 PN   26265         ,ROTACION ,,,,,,
35,00000443,DISCO DURO 480GB SATA3 2.5 PN                     ,ROTACION ,,,,,,
36,00000444,DISCO DURO EXT.1TB SSD ADATA 520MB                ,ROTACION ,,,,,,
37,00000445,DISCO DURO EXT. 1 TB  WESTEM DIITAL               ,ROTACION ,,,,,,
38,00000446,FILTRO AIRE N/P 16546  C-2735/4                   ,ROTACION ,,,,,,
39,00000449,ANTIFERRANTE BASE COBRE 31163 453GR               ,ROTACION ,,,,,,
40,00000451,PERNO PARKER G8 3/4 X 2 1/2 NR                    ,ROTACION ,,,,,,
41,00000554,POSTE CUADRADO 2.5 MT  40X40X2MM NEGRO            ,ROTACION ,,,,N,,
42,00000556,"FILTRO Y BRONCE 1""                                ",ROTACION ,,,,N,,
43,00000557,"VALVULA PIE C/ FILTRO 1"" HI BRONCE                ",ROTACION ,,,,N,,
44,00000558,"NIPLE BRONCE HI/HI 1/2"" 1U                        ",ROTACION ,,,,N,,
45,00000560,"NIPLE BRONCE HE/HE 1"" X 1 "" - 1U                  ",ROTACION ,,,,N,,
46,00000563,"VAINA TERMO.BIMETAL.10X100L 1/2"" INOX             ",ROTACION ,,,,N,,
47,00000564,"VAINA TERMO.BIMETAL. 10X150L 1/2"" INOX.           ",ROTACION ,,,,N,,
48,00000565,"VAINA TERMO.BIMETAL 10X200L 1/2"" INOX             ",ROTACION ,,,,N,,
49,00000566,"VAINA TERMO.BIMETAL. 10X300L 1/2"" INOX            ",ROTACION ,,,,N,,
50,00000567,RUEDA MEDIDORA 0-999MT C/BOTON STANLEY            ,ROTACION ,,,,N,,
51,00000570,RECOGEDOR ACEITE USADO 70 LTS SAMOA               ,ROTACION ,,,,N,,
52,00000573,RODAMIENTO 32028 B-157 ROLLWAY  COMPLETO          ,ROTACION ,,,,N,N,
53,00000576,ESMERIL ANGULAR INALAMBRICO MAKITA DGA456RTE      ,ROTACION ,,,,N,,
54,00000583,LIMPIA CONTACTO ELECT.250ML ROUTE                 ,ROTACION ,,,,N,,
55,00000584,"CORDEL PLASTICO 6MM -1/4""                         ",ROTACION ,,,,,,
